"Domain"	"Status"	"Study.Name"	"Genome.Name.Sample.Name"	"Sequencing.Center"	"IMG.Genome.ID."	"Phylum"	"Genus"	"Species"	"NCBI.Taxon.ID"	"RefSeq.Project.ID"	"NCBI.Project.ID"	"Genome.Completeness.."	"Culture.Type"	"Cultured"	"Depth"	"Ecosystem"	"Ecosystem.Category"	"Ecosystem.Subtype"	"Ecosystem.Type"	"Ecotype"	"Habitat"	"Isolation"	"Metabolism"	"Motility"	"Oxygen.Requirement"	"Phenotype"	"Salinity"	"Specific.Ecosystem"	"Sporulation"	"Temperature.Range"	"Genome.Size.....assembled"	"Gene.Count.....assembled"	"GC.....assembled"	"CDS.......assembled"	"rRNA.Count.....assembled"	"tRNA.Count.....assembled"	"Pseudo.Genes..."	"Horizontally.Transferred.."
"GCF_000092125.1_ASM9212v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Meiothermus silvanus VI-R2, DSM 9946"	"DOE Joint Genome Institute (JGI)"	646564546	"Deinococcus-Thermus"	"Meiothermus"	"Meiothermus silvanus"	526227	49485	29551	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Thermal springs"	""	"Aquatic, Hot spring"	"Hot spring from Portugal"	""	"Nonmotile"	"Aerobe"	""	""	"Unclassified"	"Nonsporulating"	"Thermophile"	3721669	3720	0.63	98.52	6	47	4.3	7.02
"GCF_000024425.1_ASM2442v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Meiothermus ruber 21, DSM 1279"	"DOE Joint Genome Institute (JGI)"	646564545	"Deinococcus-Thermus"	"Meiothermus"	"Meiothermus ruber"	504728	46661	28827	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Thermal springs"	""	"Aquatic, Hot spring"	"Hot spring, Kamchatka Peninsula, Russia"	""	"Nonmotile"	"Obligate aerobe"	""	""	"Unclassified"	"Nonsporulating"	"Thermophile"	3097457	3105	0.63	98.29	6	47	1.22	0.06
"GCF_000187005.1_ASM18700v1"	"Bacteria"	"Finished"	"Thermus scotoductus SA-01, ATCC 700910"	"Thermus scotoductus SA-01, ATCC 700910"	"University of Gottingen"	649633105	"Deinococcus-Thermus"	"Thermus"	"Thermus scotoductus"	743525	62273	46293	NA	"Isolate"	"Yes"	"3200 meters"	"Engineered"	"Wastewater"	"Mine water"	"Industrial wastewater"	""	"Fresh water, Groundwater"	"Groundwater from a gold mine at a depth of 3.2 km, Witwatersrand Supergroup, South Africa"	"Iron reducer, Sulfur oxidizer"	""	"Anaerobe"	""	""	"Unclassified"	""	"Thermophile"	2355186	2514	0.65	97.89	6	47	0	3.14
"GCF_000309885.1_ASM30988v1"	"Bacteria"	"Finished"	"Sequencing Genomes of Environmentally Important Thermophiles in Great Basin hot springs: Thermocrinis ruber, three members of the genus Thermus, and a novel Chloroflexi"	"Thermus oshimai JL-2"	"DOE Joint Genome Institute (JGI)"	2508501045	"Deinococcus-Thermus"	"Thermus"	"Thermus oshimai"	751945	0	63181	NA	"Isolate"	"Yes"	"Sediment/water interface (shallow)"	"Environmental"	"Aquatic"	"Unclassified"	"Thermal springs"	""	"Aquatic, Hot spring"	"Sandy?s Spring West (SSW), a >73 &#730;C hot spring located in the U.S. Great Basin, Nevada"	""	"Nonmotile"	"Anaerobe"	""	""	"Unclassified"	"Nonsporulating"	"Thermophile"	2401329	2548	0.69	97.65	6	52	2.08	2.2
"GCF_000236585.1_ASM23658v1"	"Bacteria"	"Finished"	"Thermus sp. CCB_US3_UF1"	"Thermus sp. CCB_US3_UF1"	"University of Science, Malaysia"	2511231187	"Deinococcus-Thermus"	"Thermus"	"Thermus sp. CCB_US3_UF1"	1111069	81197	76491	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Thermal springs"	""	"Aquatic, Hot spring"	"Ulu Slim hot spring, Perak, Malaysia"	""	""	"Aerobe"	""	""	"Unclassified"	"Nonsporulating"	"Thermophile"	2263488	2333	0.69	97.69	6	48	0	0.51
"GCF_000258245.1_ASM25824v1"	"Bacteria"	"Finished"	"Sequencing Genomes of Environmentally Important Thermophiles in Great Basin hot springs: Thermocrinis ruber, three members of the genus Thermus, and a novel Chloroflexi"	"Thermus thermophilus JL-18"	"DOE Joint Genome Institute (JGI)"	2508501108	"Deinococcus-Thermus"	"Thermus"	"Thermus thermophilus"	798128	162129	66077	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Thermal springs"	""	"Aquatic, Fresh water, Hot spring"	"Sandy?s Spring West (SSW), a >73 &#730;C hot spring located in the U.S. Great Basin, Nevada"	""	"Nonmotile"	"Obligate aerobe"	""	""	"Unclassified"	"Nonsporulating"	"Thermophile"	2311212	2508	0.69	97.77	6	48	1.99	1
"GCF_000091545.1_ASM9154v1"	"Bacteria"	"Finished"	"Thermus thermophilus HB8"	"Thermus thermophilus HB8"	""	637000323	"Deinococcus-Thermus"	"Thermus"	"Thermus thermophilus"	300852	58223	13202	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Thermal springs"	""	"Fresh water, Hot spring"	"Thermal vent in Japan"	""	"Nonmotile"	"Aerobe"	""	"Halotolerant"	"Unclassified"	""	"Thermophile"	2116056	2302	0.69	97.22	6	48	0	1.52
"GCF_000186385.1_ASM18638v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Deinococcus maricopensis LB-34, DSM 21211"	"DOE Joint Genome Institute (JGI)"	649633034	"Deinococcus-Thermus"	"Deinococcus"	"Deinococcus maricopensis"	709986	62225	43461	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Unclassified"	"Soil"	""	"Soil"	"Soil, sonoran desert; USA, Arizona"	""	"Nonmotile"	"Aerobe"	"Radiation resistant"	""	"Desert"	"Nonsporulating"	"Mesophile"	3498530	3367	0.7	98.04	12	52	1.1	5.05
"GCF_000317835.1_ASM31783v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Deinococcus peraridilitoris KR-200, DSM 19664"	"DOE Joint Genome Institute (JGI)"	2509276065	"Deinococcus-Thermus"	"Deinococcus"	"Deinococcus peraridilitoris"	937777	0	61295	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Unclassified"	"Soil"	""	"Soil"	"Arid soil collected from a coastal desert north of Antofagasta in Chile"	""	"Nonmotile"	"Aerobe"	"Radiation resistant"	""	"Desert"	""	"Mesophile"	4513714	4466	0.64	98.59	12	49	4.93	12.14
"GCF_000252445.1_ASM25244v1"	"Bacteria"	"Finished"	"Deinococcus gobiensis I-0"	"Deinococcus gobiensis I-0, DSM 21396"	"Chinese Academy of Agricultural Sciences"	2512564069	"Deinococcus-Thermus"	"Deinococcus"	"Deinococcus gobiensis"	745776	162509	46605	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Unclassified"	"Soil"	""	"Sand"	"Sand sample of the Gobi desert inxinjiang Autonomous Region, China"	""	"Nonmotile"	"Anaerobe"	"Radiation resistant"	""	"Desert"	""	"Mesophile"	4406036	4465	0.69	97.63	15	46	0.43	5.6
"GCF_000020685.1_ASM2068v1"	"Bacteria"	"Finished"	"Deinococcus deserti VCD115"	"Deinococcus deserti VCD115"	"CEA Genoscope"	643692020	"Deinococcus-Thermus"	"Deinococcus"	"Deinococcus deserti"	546414	58615	16691	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Unclassified"	"Soil"	""	"Soil"	"Sahara Desert in Morocco and Tunisia"	""	"Nonmotile"	"Aerobe"	"Radiation resistant"	""	"Desert"	"Nonsporulating"	"Mesophile"	3855329	3511	0.63	98.29	12	48	0	25.95
"GCF_000008565.1_ASM856v1"	"Bacteria"	"Finished"	"Deinococcus radiodurans ATCC BAA-816"	"Deinococcus radiodurans ATCC BAA-816"	"J. Craig Venter Institute (JCVI)"	637000092	"Deinococcus-Thermus"	"Deinococcus"	"Deinococcus radiodurans"	243230	57665	65	NA	"Isolate"	"Yes"	""	"Engineered"	"Food production"	"Unclassified"	"Unclassified"	""	"Soil"	"Animal-derived foodstuff"	""	"Nonmotile"	"Aerobe"	"Radiation resistant"	""	"Unclassified"	""	"Mesophile"	3284156	3249	0.67	97.91	9	49	0	21.85
"GCF_000190555.1_ASM19055v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Deinococcus proteolyticus MRP, DSM 20540"	"DOE Joint Genome Institute (JGI)"	649633035	"Deinococcus-Thermus"	"Deinococcus"	"Deinococcus proteolyticus"	693977	63399	41911	NA	"Isolate"	"Yes"	""	"Host-associated"	"Animal"	"Fecal"	"Digestive system"	""	"Host, Soil"	"Faeces of Lama glama"	""	"Nonmotile"	"Aerobe"	"Radiation resistant"	""	"Unclassified"	"Nonsporulating"	"Mesophile"	2886836	2799	0.66	97.93	9	47	3.04	8.82
"GCF_000196275.1_ASM19627v1"	"Bacteria"	"Finished"	"Deinococcus geothermalis Sequencing"	"Deinococcus geothermalis DSM 11300"	"DOE Joint Genome Institute (JGI)"	641228488	"Deinococcus-Thermus"	"Deinococcus"	"Deinococcus geothermalis"	319795	58275	13423	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Thermal springs"	""	"Aquatic, Fresh water, Hot spring"	"Hot spring at Agnano in Naples Italy"	""	"Nonmotile"	"Aerobe"	"Biofilm, Radiation resistant"	""	"Unclassified"	""	"Thermophile"	3247018	3148	0.66	97.84	12	48	0.57	48.41
"GCF_000092425.1_ASM9242v1"	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Truepera radiovictrix RQ-24, DSM 17093"	"DOE Joint Genome Institute (JGI)"	646564586	"Deinococcus-Thermus"	"Truepera"	"Truepera radiovictrix"	649638	49533	38371	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Thermal springs"	""	"Aquatic, Fresh water, Hot spring"	"Water sample from a hot spring runoffs on the Island of Sao Miguel in the Azores, Portugal"	""	"Nonmotile"	"Obligate aerobe"	"Radiation resistant"	""	"Unclassified"	"Nonsporulating"	"Thermophile"	3260398	3046	0.68	98.29	6	45	1.61	54.89
"GCF_000011385.1_ASM1138v1"	"Bacteria"	"Finished"	"Gloeobacter violaceus PCC 7421"	"Gloeobacter violaceus PCC 7421"	"Kazusa DNA Research Institute"	637000121	"Cyanobacteria"	"Gloeobacter"	"Gloeobacter violaceus"	251221	58011	9606	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Unclassified"	"Geologic"	""	"Fresh water, Soil"	"Calcereous rock in Switzerland"	""	"Nonmotile"	""	""	""	"Unclassified"	""	"Mesophile"	4659019	4490	0.62	98.66	3	45	0	23.99
"GCF_000013225.1_ASM1322v1"	"Bacteria"	"Finished"	"Hot spring microbial mat cyanobacterial strain"	"Synechococcus sp. JA-2-3B'a(2-13)"	"J. Craig Venter Institute (JCVI)"	637000312	"Cyanobacteria"	"Synechococcus"	"Synechococcus sp. JA-2-3B'a(2-13)"	321332	58537	16252	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Thermal springs"	""	"Fresh water, Hot spring"	"Top 2mm of microbial mat samples from Octopus Spring Yellowstone National Park"	""	"Motile"	"Facultative"	""	""	"Unclassified"	""	"Thermophile"	3046682	2947	0.58	97.93	6	45	0.81	7.7
"GCF_000013205.1_ASM1320v1"	"Bacteria"	"Finished"	"Hot spring microbial mat cyanobacterial strain"	"Synechococcus sp. JA-3-3Ab"	"J. Craig Venter Institute (JCVI)"	637000313	"Cyanobacteria"	"Synechococcus"	"Synechococcus sp. JA-3-3Ab"	321327	58535	16251	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Thermal springs"	""	"Fresh water, Hot spring"	"Top 2mm of microbial mat samples from Octopus Spring Yellowstone National Park"	""	"Motile"	"Facultative"	""	""	"Unclassified"	""	"Thermophile"	2932766	2900	0.6	97.79	6	47	2.62	4.79
"GCF_000063525.1_ASM6352v1"	"Bacteria"	"Finished"	"Synechococcus sp. RCC 307"	"Synechococcus sp. RCC307"	"CEA Genoscope, Institut Pasteur, Roscoff Center for Oceanography"	640427148	"Cyanobacteria"	"Synechococcus"	"Synechococcus sp. RCC307"	316278	61609	13654	NA	"Isolate"	"Yes"	"15 m"	"Environmental"	"Aquatic"	"Pelagic"	"Marine"	""	"Aquatic, Marine"	"Seawater from the Mediterranean Sea"	""	"Motile"	"Facultative"	""	""	"Unclassified"	""	"Mesophile"	2224914	2588	0.61	97.95	3	42	0	6.49
"GCF_000014585.1_ASM1458v1"	"Bacteria"	"Finished"	"Prochlorococcus sp. CC9311"	"Synechococcus sp. CC9311"	"J. Craig Venter Institute (JCVI)"	637000309	"Cyanobacteria"	"Synechococcus"	"Synechococcus sp. CC9311"	64471	58123	12530	NA	"Isolate"	"Yes"	"95 m"	"Environmental"	"Aquatic"	"Pelagic"	"Marine"	""	"Marine"	"Oligotrophic edge of the California Current, CalCOFI cruise 93204, station 83.110"	""	"Motile"	""	"Non-Pathogen"	""	""	""	"Mesophile"	2606748	2951	0.52	98.03	6	44	0.03	5.52
"GCF_000063505.1_ASM6350v1"	"Bacteria"	"Finished"	"Prochlorococcus sp. WH 7803"	"Synechococcus sp. WH7803"	"CEA Genoscope, Institut Pasteur, Roscoff Center for Oceanography"	640427149	"Cyanobacteria"	"Synechococcus"	"Synechococcus sp. WH 7803"	32051	61607	13642	NA	"Isolate"	"Yes"	"25 m"	"Environmental"	"Aquatic"	"Pelagic"	"Marine"	""	"Aquatic, Marine"	"Sargasso Sea,  North Atlantic"	""	"Motile"	""	""	""	"Unclassified"	""	"Mesophile"	2366980	2591	0.6	97.76	6	44	0	2.66
"GCF_000195975.1_ASM19597v1"	"Bacteria"	"Finished"	"Synechococcus sp. WH8102"	"Synechococcus sp. WH8102"	"DOE Joint Genome Institute (JGI)"	637000314	"Cyanobacteria"	"Synechococcus"	"sp."	84588	61581	230	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Pelagic"	"Marine"	""	"Aquatic, Marine"	"Sargasso Sea from Oceanus cruise 92"	""	"Motile"	""	""	""	"Unclassified"	""	"Mesophile"	2434428	2588	0.59	97.68	7	44	0.35	4.29
"GCF_000012625.1_ASM1262v1"	"Bacteria"	"Finished"	"Synechococcus"	"Synechococcus sp. CC9605"	"DOE Joint Genome Institute (JGI)"	637000310	"Cyanobacteria"	"Synechococcus"	"sp."	110662	58319	13643	NA	"Isolate"	"Yes"	"51 m"	"Environmental"	"Aquatic"	"Pelagic"	"Marine"	""	"Marine"	"California coast"	"Carbon dioxide fixation"	"Motile"	""	""	""	"Unclassified"	"Nonsporulating"	"Mesophile"	2510659	2761	0.59	97.86	6	45	2.06	4.93
"GCF_000012505.1_ASM1250v1"	"Bacteria"	"Finished"	"Synechococcus"	"Synechococcus sp. CC9902"	"DOE Joint Genome Institute (JGI)"	637000311	"Cyanobacteria"	"Synechococcus"	"sp."	316279	58323	13655	NA	"Isolate"	"Yes"	"5 m"	"Environmental"	"Aquatic"	"Pelagic"	"Marine"	""	"Marine"	"California current"	"Carbon dioxide fixation"	"Motile"	""	""	""	"Unclassified"	""	"Mesophile"	2234828	2410	0.54	95.73	6	90	0	2.07
"GCF_000018585.1_ASM1858v1"	"Bacteria"	"Finished"	"Prochlorococcus marinus sequencing - JCVI"	"Prochlorococcus sp. MIT9211"	"J. Craig Venter Institute (JCVI)"	641228501	"Cyanobacteria"	"Prochlorococcus"	"Prochlorococcus sp. MIT9211"	93059	58309	13551	NA	"Isolate"	"Yes"	"83 m"	"Environmental"	"Aquatic"	"Pelagic"	"Marine"	"Low light adapted (LL)"	"Marine"	"Equatorial Pacific"	""	"Nonmotile"	""	"Non-Pathogen"	""	"Unclassified"	""	"Mesophile"	1688963	1901	0.38	97.63	3	40	0.05	3.95
"GCF_000011465.1_ASM1146v1"	"Bacteria"	"Finished"	"Prochlorococcus marinus subsp. pastoris CCMP1986"	"Prochlorococcus marinus pastoris CCMP 1986"	"DOE Joint Genome Institute (JGI)"	637000214	"Cyanobacteria"	"Prochlorococcus"	"Prochlorococcus marinus"	59919	57761	213	NA	"Isolate"	"Yes"	"5 m"	"Environmental"	"Aquatic"	"Marginal Sea"	"Marine"	"High light adapted (HL)"	"Aquatic, Marine"	"Mediterranean Sea"	""	"Nonmotile"	""	"High-light adapted"	""	"Unclassified"	""	"Mesophile"	1657990	2069	0.31	95.02	6	40	0.43	1.84
"GCF_000015665.1_ASM1566v1"	"Bacteria"	"Finished"	"Prochlorococcus marinus sequencing - JCVI"	"Prochlorococcus sp. MIT9515"	"J. Craig Venter Institute (JCVI)"	640069324	"Cyanobacteria"	"Prochlorococcus"	"Prochlorococcus sp. MIT9515"	167542	58313	13617	NA	"Isolate"	"Yes"	"15 m"	"Environmental"	"Aquatic"	"Pelagic"	"Marine"	"High light adapted (HL)"	"Marine, Surface water"	"Equatorial Pacific, Surface waters"	""	"Nonmotile"	""	"Non-Pathogen"	""	"Unclassified"	""	"Mesophile"	1704176	1968	0.31	97.66	3	37	0.81	3.56
"GCF_000018065.1_ASM1806v1"	"Bacteria"	"Finished"	"Prochlorococcus sp. MIT9215"	"Prochlorococcus sp. MIT9215"	"DOE Joint Genome Institute (JGI)"	640753041	"Cyanobacteria"	"Prochlorococcus"	"Prochlorococcus sp. MIT9215"	93060	58819	18633	NA	"Isolate"	"Yes"	"5 m"	"Environmental"	"Aquatic"	"Pelagic"	"Marine"	"High light adapted (HL)"	"Marine"	"Equatorial Pacific"	""	"Nonmotile"	""	""	""	"Unclassified"	""	"Mesophile"	1738790	2059	0.31	97.81	3	39	1.55	3.93
"GCF_000015965.1_ASM1596v1"	"Bacteria"	"Finished"	"Prochlorococcus marinus sequencing - JCVI"	"Prochlorococcus sp. MIT9301"	"J. Craig Venter Institute (JCVI)"	640069322	"Cyanobacteria"	"Prochlorococcus"	"Prochlorococcus sp. MIT9301"	167546	58437	15746	NA	"Isolate"	"Yes"	"90 m"	"Environmental"	"Aquatic"	"Pelagic"	"Marine"	"High light adapted (HL)"	"Aquatic, Marine"	"Sargasso Sea"	""	"Nonmotile"	""	"Small"	""	"Unclassified"	""	"Mesophile"	1641879	1967	0.31	97.66	3	37	0.71	2.54
"GCF_000015645.1_ASM1564v1"	"Bacteria"	"Finished"	"Prochlorococcus marinus sequencing - JCVI"	"Prochlorococcus sp. AS9601"	"J. Craig Venter Institute (JCVI)"	640069321	"Cyanobacteria"	"Prochlorococcus"	"Prochlorococcus sp. AS9601"	146891	58307	13548	NA	"Isolate"	"Yes"	"50 m"	"Environmental"	"Aquatic"	"Pelagic"	"Marine"	"High light adapted (HL)"	"Aquatic, Marine"	"Arabian Sea"	""	"Nonmotile"	""	"Non-Pathogen"	""	"Unclassified"	""	"Mesophile"	1669886	1988	0.31	97.54	3	39	0.91	2.41
"GCF_000012645.1_ASM1264v1"	"Bacteria"	"Finished"	"Prochlorococcus sp. MIT9312"	"Prochlorococcus sp. MIT9312"	"DOE Joint Genome Institute (JGI)"	637000210	"Cyanobacteria"	"Prochlorococcus"	"Prochlorococcus sp. MIT9312"	74546	58357	13910	NA	"Isolate"	"Yes"	"135 m"	"Environmental"	"Aquatic"	"Pelagic"	"Marine"	"High light adapted (HL)"	"Marine"	"Gulf Stream of North Atlantic Ocean"	""	"Nonmotile"	""	"Small"	""	"Unclassified"	""	"Mesophile"	1709204	1860	0.31	97.37	3	39	0.05	3.33
"GCF_000015685.1_ASM1568v1"	"Bacteria"	"Finished"	"Prochlorococcus marinus sequencing - JCVI"	"Prochlorococcus sp. NATL1A"	"J. Craig Venter Institute (JCVI)"	640069325	"Cyanobacteria"	"Prochlorococcus"	"Prochlorococcus sp. NATL1A"	167555	58423	15660	NA	"Isolate"	"Yes"	"30 m"	"Environmental"	"Aquatic"	"Pelagic"	"Marine"	"Low light adapted (LL)"	"Marine"	"North Atlantic Ocean"	""	"Nonmotile"	""	"Non-Pathogen"	""	"Unclassified"	""	"Mesophile"	1864731	2251	0.35	97.91	3	38	0.49	4.75
"GCF_000015705.1_ASM1570v1"	"Bacteria"	"Finished"	"Prochlorococcus marinus sequencing - JCVI"	"Prochlorococcus sp. MIT9303"	"J. Craig Venter Institute (JCVI)"	640069323	"Cyanobacteria"	"Prochlorococcus"	"Prochlorococcus sp. MIT9303"	59922	58305	13496	NA	"Isolate"	"Yes"	"100 m"	"Environmental"	"Aquatic"	"Pelagic"	"Marine"	"Low light adapted (LL)"	"Aquatic, Marine"	"Sargasso Sea"	""	"Nonmotile"	""	"Non-Pathogen"	""	"Unclassified"	""	"Mesophile"	2682675	3133	0.5	98.15	6	44	2.49	7.09
"GCF_000012525.1_ASM1252v1"	"Bacteria"	"Finished"	"Synechococcus elongatus PCC7942"	"Synechococcus elongatus PCC 7942"	"DOE Joint Genome Institute (JGI)"	637000308	"Cyanobacteria"	"Synechococcus"	"Synechococcus elongatus"	1140	58045	10645	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Freshwater"	""	"Aquatic, Fresh water"	"Freshwater lake in 1968"	"Carbon fixation"	"Motile"	"Facultative"	""	""	"Unclassified"	""	"Mesophile"	2742269	2719	0.55	97.9	6	44	0	2.32
"GCF_000011345.1_ASM1134v1"	"Bacteria"	"Finished"	"Thermosynechococcus elongatus BP-1"	"Thermosynechococcus elongatus BP-1"	"Kazusa DNA Research Institute"	637000320	"Cyanobacteria"	"Thermosynechococcus"	"Thermosynechococcus elongatus"	197221	57907	308	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Unclassified"	"Thermal springs"	""	"Aquatic, Fresh water, Hot spring"	"Beppu hot spring in Japan"	""	""	""	""	""	"Unclassified"	""	"Thermophile"	2593857	2555	0.54	96.91	3	42	0	54.09
"GCF_000022045.1_ASM2204v1"	"Bacteria"	"Finished"	"Cyanothece Sequencing CSP_777088"	"Cyanothece sp. PCC 7425"	"DOE Joint Genome Institute (JGI)"	643348534	"Cyanobacteria"	"Cyanothece"	"Cyanothece sp. PCC 7425"	395961	59435	28337	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Unclassified"	"Agricultural field"	""	"Fresh water"	"Rice fields in Senegal"	"Nitrogen fixation"	"Nonmotile"	"Anaerobe"	""	""	"Unclassified"	""	"Mesophile"	5786110	5481	0.51	99.03	6	47	1.84	59.81
"GCF_000018105.1_ASM1810v1"	"Bacteria"	"Finished"	"Acaryochloris marina MBIC11017"	"Acaryochloris marina MBIC11017"	"Washington University in St. Louis"	641228474	"Cyanobacteria"	"Acaryochloris"	"Acaryochloris marina"	329726	58167	12997	NA	"Isolate"	"Yes"	""	"Host-associated"	"Animal"	"Unclassified"	"Unclassified"	""	"Marine"	"Prochloron-dominated colonial ascidian Lissoclinum patella off the tropical coast of the Palau islands"	""	""	"Aerobe"	"Non-Pathogen, Symbiont"	""	"Unclassified"	""	"Mesophile"	8361599	8488	0.47	99.07	6	69	0.33	47.64
"GCF_000014265.1_ASM1426v1"	"Bacteria"	"Finished"	"Trichodesmium erythraeum IMS101"	"Trichodesmium erythraeum IMS101"	"DOE Joint Genome Institute (JGI)"	637000329	"Cyanobacteria"	"Trichodesmium"	"Trichodesmium erythraeum"	203124	57925	318	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Neritic zone"	"Marine"	""	"Marine"	"coastal waters, North Carolina USA"	"Nitrogen fixation"	"Motile"	"Aerobe"	"Non-Pathogen"	""	"Unclassified"	""	"Mesophile"	7750108	5156	0.34	98.45	5	38	12.12	19.84
"GCF_000210375.1_ASM21037v1"	"Bacteria"	"Finished"	"Arthrospira platensis NIES-39"	"Arthrospira platensis NIES-39"	"National Institute of Technology and Evaluation"	650377906	"Cyanobacteria"	"Arthrospira"	"Arthrospira platensis"	696747	0	42161	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Saline"	"Non-marine Saline and Alkaline"	""	"Aquatic, Fresh water"	"Salt water, Lake Chad"	""	"Motile"	"Facultative"	"Photosynthetic"	"Halophile"	"Unclassified"	""	"Mesophile"	6788435	6676	0.44	99.31	6	40	0	0.91
"GCF_000020025.1_ASM2002v1"	"Bacteria"	"Finished"	"Nostoc punctiforme ATCC 29133"	"Nostoc punctiforme PCC 73102"	"DOE Joint Genome Institute (JGI)"	642555144	"Cyanobacteria"	"Nostoc"	"Nostoc punctiforme"	63737	57767	216	NA	"Isolate"	"Yes"	""	"Host-associated"	"Plants"	"Unclassified"	"Rhizome"	""	"Fresh water, Soil"	"root  section,  Macrozamia  sp.,  Australia,  1973"	"Carbon dioxide fixation, Nitrogen fixation"	"Motile"	"Aerobe"	""	""	"Unclassified"	""	"Mesophile"	9059191	6791	0.41	98.51	12	88	0	22.46
"GCA_000204075.1_ASM20407v1"	"Bacteria"	"Finished"	"Anabaena variabilis ATCC 29413"	"Anabaena variabilis ATCC 29413"	"DOE Joint Genome Institute (JGI)"	646564504	"Cyanobacteria"	"Anabaena"	"Anabaena variabilis"	240292	58043	10642	NA	"Isolate"	"Yes"	""	"Engineered"	"Wastewater"	"Unclassified"	"Unclassified"	""	"Aquatic, Fresh water, Ponds, Soil"	"Freshwater; sewage oxidation pond"	"Carbon dioxide fixation, Hydrogen production, Nitrogen fixation"	"Motile"	"Aerobe"	""	""	"Unclassified"	""	"Mesophile"	7105752	5772	0.41	98.93	12	48	0.02	8.18
"GCF_000196515.1_ASM19651v1"	"Bacteria"	"Finished"	"DOEM_782002"	"Nostoc azollae 0708"	"DOE Joint Genome Institute (JGI)"	648028001	"Cyanobacteria"	"Nostoc"	"Nostoc azollae"	551115	49725	30807	NA	"Isolate"	"Yes"	""	"Host-associated"	"Plants"	"Unclassified"	"Unclassified"	""	"Aquatic, Host"	"water fern Azolla filiculoides commonly known as duckweed"	"Nitrogen fixation"	"Motile"	"Aerobe"	""	""	"Unclassified"	"Nonsporulating"	"Mesophile"	5486145	5379	0.38	98.92	12	44	31.05	9.39
"GCF_000021805.1_ASM2180v1"	"Bacteria"	"Finished"	"Cyanothece Sequencing CSP_777088"	"Cyanothece sp. PCC 8801"	"DOE Joint Genome Institute (JGI)"	643348535	"Cyanobacteria"	"Cyanothece"	"Cyanothece sp. PCC 8801"	41431	59027	20503	NA	"Isolate"	"Yes"	""	"Environmental"	"Terrestrial"	"Unclassified"	"Agricultural field"	""	"Fresh water"	"Rice fields in india and Taiwan"	"Nitrogen fixation"	"Nonmotile"	"Aerobe"	""	""	"Unclassified"	""	"Mesophile"	4787694	4615	0.4	98.94	6	43	4.31	2.19
"GCF_000017845.1_ASM1784v1"	"Bacteria"	"Finished"	"Cyanothece sp. BH68, ATCC 51142"	"Cyanothece sp. BH68, ATCC 51142"	"Washington University in St. Louis"	641522622	"Cyanobacteria"	"Cyanothece"	"Cyanothece sp. ATCC 51142"	43989	59013	20319	NA	"Isolate"	"Yes"	""	"Environmental"	"Aquatic"	"Intertidal zone"	"Marine"	""	"Marine"	"Intertidal sands near Port Aransas, Gulf of Mexico in Texas"	"Nitrogen fixation"	"Nonmotile"	"Facultative"	""	""	"Sediment"	""	"Mesophile"	5460377	5354	0.38	99.07	6	43	0	0.93
