"Tyr" "His" "Phe" "Asn" "Gln" "Lys" "Glu" "Asp" "Cys" "Ser2" "Ile" "S_avg"
"GCF_000023385.1_ASM2338v1" 0.0536 -0.1846 0.0816 0.5927 -0.5714 -0.7882 -0.7002 0.3066 0.7496 1.1426 0.344 0.2961
"GCF_000009785.1_ASM978v1" 0.7377 0.4251 0.9441 1.151 -0.8855 -1.0526 -0.7888 0.5231 0.2581 0.9373 0.324 0.7121
"GCF_000236605.1_ASM23660v1" 0.9006 0.3676 0.8807 1.3224 -0.9505 -1.0893 -0.837 0.5782 0.1186 1.1233 0.1922 0.7035
"GCF_000015745.1_ASM1574v1" 0.5674 -0.3178 0.9038 1.3648 -0.7317 -0.8002 -0.4979 0.4444 0.3014 1.2914 0.1253 0.6604
"GCF_000015785.1_ASM1578v1" 1.7756 1.0432 1.3703 1.6437 -0.8748 -1.0564 -0.5379 0.622 -0.8518 0.8717 0.8481 1.3162
"GCF_000221645.1_ASM22164v1" 0.9666 0.7355 1.2923 1.2336 -0.7156 -1.3516 -0.5853 0.596 0.57 1.72 0.8093 1.0437
"GCF_000283695.1_ASM28369v1" 1.2386 1.143 1.4323 1.4883 -0.9216 -1.2774 -0.3168 0.3189 0.1834 0.7921 0.7478 1.1338
"GCF_000165925.1_ASM16592v1" 1.8425 1.0393 1.6712 1.4583 -1.027 -0.7989 -0.7347 0.6833 0.3117 -0.2508 0.9406 1.3595
"GCF_000186745.1_ASM18674v1" 1.6282 1.2627 1.777 1.2326 -1.379 -1.5131 -0.6614 0.5274 -0.2099 0.1036 0.992 1.2997
"GCF_000227485.1_ASM22748v1" 2.1344 1.1207 1.7842 1.9889 -1.4738 -1.6071 -0.6394 0.4622 0.0447 1.158 1.2031 1.6705
"GCF_000227465.1_ASM22746v1" 1.9916 1.2965 2.0776 1.9878 -1.4287 -1.863 -0.5962 0.4615 -0.4526 1.2867 1.277 1.7389
"GCF_000017885.4_ASM1788v4" 1.3272 1.7209 1.6591 1.7457 -1.7304 -1.0292 -0.3942 0.3198 0.004 0.5995 1.1644 1.4491
"GCF_000008425.1_ASM842v1" 0.8762 0.8591 0.8713 0.9373 -1.0654 -0.7388 -0.2567 0.4706 0.1341 0.1112 0.651 0.8121
"GCF_000017425.1_ASM1742v1" 1.7564 1.3899 1.8157 1.9801 -1.571 -1.4302 -0.403 1.1922 1.1222 1.3617 1.5216 1.7319
"GCF_000021305.1_ASM2130v1" 2.0357 1.6965 2.2908 2.2942 -1.455 -0.8938 -0.1878 1.2403 0.3096 1.4038 1.5137 1.9421
"GCF_000193355.1_ASM19335v1" 1.9018 1.5908 2.256 2.2343 -1.5275 -0.985 -0.1982 1.1927 0.0864 1.3871 1.4474 1.8776
"GCF_000092165.1_ASM9216v1" 1.9422 1.8027 2.2572 2.1747 -1.5512 -0.9786 -0.2249 1.2175 0.3027 1.3422 1.5326 1.903
"GCF_000190515.1_ASM19051v1" 1.8982 1.6781 2.3316 1.9769 -1.5216 -1.0476 -0.2514 1.0466 0.091 1.4352 1.5762 1.8871
"GCF_000008005.1_ASM800v1" 1.978 1.7084 2.3511 2.0133 -1.6621 -1.0024 -0.2362 1.2851 0.1693 1.3804 1.591 1.9129
"GCF_000008165.1_ASM816v1" 2.1834 1.7762 2.4336 2.1888 -1.5834 -0.9935 -0.2411 1.2608 0.027 1.6368 1.727 2.0556
"GCF_000021785.1_ASM2178v1" 2.0281 1.7989 2.1855 1.689 -1.3273 -1.0758 -0.2825 1.1375 0.0775 0.9639 1.6017 1.8014
"GCF_000283675.1_ASM28367v1" 2.0306 1.6473 2.2233 1.8533 -1.3795 -1.095 -0.2745 1.0658 0.1358 1.1909 1.4848 1.8153
"GCF_000018825.1_ASM1882v1" 1.6916 1.4812 2.1237 1.9333 -1.5367 -1.0556 -0.3248 1.1245 0.4074 1.3021 1.4458 1.7506
"GCF_000225265.1_ASM22526v1" 1.2003 1.4612 1.9119 1.5701 -2.1302 -0.987 -0.4531 0.6002 0.2335 0.7204 1.4935 1.5526
"GCF_000025825.1_ASM2582v1" 0.9421 1.1181 1.8695 1.5958 -2.3148 -1.1292 0.0143 0.4362 -0.0439 1.3643 1.4855 1.4952
"GCF_000217835.1_ASM21783v1" 0.1002 -0.013 -0.25 -0.2319 0.6974 -0.2854 -0.2989 -0.0858 1.4757 0.4719 -0.1535 -0.1402
"GCF_000010585.1_ASM1058v1" 1.4678 1.6012 1.8387 1.4463 -2.03 -2.277 -1.4663 0.7631 -0.1106 1.4544 0.7192 1.2413
"GCF_000185885.1_ASM18588v1" 1.2336 1.6197 1.7945 1.3505 -1.4603 -1.1721 -0.7241 0.9222 -Inf 1.2992 1.0071 1.2853
"GCF_000009405.1_ASM940v1" 1.5722 1.421 1.321 1.5132 -2.1916 -1.0519 -1.7079 0.7496 0.6895 1.8613 1.1143 1.3743
"GCF_000010125.1_ASM1012v1" 1.6517 1.8489 1.5563 1.4717 -1.5606 -1.474 -1.4082 0.9242 -Inf 1.0836 0.9392 1.3203
"GCF_000009865.1_ASM986v1" 1.3635 1.9607 1.8645 0.9783 -Inf -2.6146 -0.5169 0.7179 0.0015 1.1828 1.3738 1.343
"GCF_000025085.1_ASM2508v1" 1.0402 1.0743 1.359 0.9887 -1.343 -2.0982 -1.3626 0.7418 -0.0108 1.2994 0.851 1.0193
"GCF_000007645.1_ASM764v1" 1.1126 1.3935 1.8805 1.0497 -1.082 -0.6001 -0.8799 0.8278 -0.762 0.7182 0.8418 1.1418
"GCF_000024585.1_ASM2458v1" 1.5472 1.8196 2.2703 1.6972 -2.3249 -0.9372 -0.9915 1.0993 -0.4894 1.9221 1.3074 1.6491
"GCF_000245495.1_ASM24549v1" 1.4975 1.7958 2.2081 1.7612 -1.9971 -0.8753 -1.0693 1.0786 -0.6447 1.8663 1.3151 1.6529
"GCF_001602155.1_ASM160215v1" 0.893 0.9365 1.2397 1.4505 -Inf -0.9983 -2.3854 0.9698 0.142 0.4712 0.6343 0.9937
"GCF_000210615.1_ASM21061v1" 0.938 1.1452 1.8794 1.4149 1.5877 -0.4153 -1.9005 0.404 0.1767 0.8582 0.9714 1.263
"GCA_000210735.1_ASM21073v1" 1.4408 0.8035 1.727 1.4796 Inf 2.5708 1.8435 0.1365 2.2691 2.9216 1.3688 1.4907
"GCF_000179635.2_ASM17963v2" 0.7748 2.058 2.281 1.6261 4.1233 2.9533 1.2655 0.626 0.9076 2.0642 2.2528 1.7867
"GCF_000210095.1_ASM21009v1" 1.52 1.7742 0.9206 1.2881 1.1129 2.0558 0.4372 0.4702 0.7467 0.9807 0.6561 1.0123
"GCF_000178115.2_ASM17811v2" 0.0646 0.6438 1.1737 1.0728 0.8874 -0.2032 -0.1359 0.2354 0.6908 1.2696 0.9211 0.8553
"GCF_000178835.2_ASM17883v2" 1.4366 1.3404 1.9797 1.1313 -2.6817 -1.8184 -1.2249 0.5341 -0.4908 0.6286 1.3528 1.4438
"GCA_000210555.1_ASM21055v1" 1.3824 0.4812 2.2882 1.8576 Inf 0.0027 -1.102 0.4251 0.0733 1.2305 1.4834 1.7102
"GCF_000146185.1_ASM14618v1" 0.8733 0.5741 1.6316 1.1733 2.7895 2.0213 0.23 -0.3107 0.8432 0.808 1.2442 1.2283
"GCF_000145035.1_ASM14503v1" 0.9923 1.3391 2.4429 1.6551 3.0335 1.833 1.0731 0.0846 0.7729 1.1007 1.2692 1.5744
"GCF_000270305.1_ASM27030v1" 0.4661 -0.1673 1.0845 0.866 2.4299 -0.032 0.522 -0.031 0.5608 0.766 0.6152 0.7528
"GCA_000209815.1_ASM20981v1" 1.461 1.6317 1.9638 2.053 3.737 2.4929 0.9897 0.2574 0.6824 1.6284 1.6199 1.7756
"GCF_000225345.1_ASM22534v1" 0.9725 0.1914 2.0439 1.3035 Inf 0.8465 1.0271 -0.1611 0.1643 0.9921 1.295 1.3882
"GCA_000210655.1_ASM21065v1" 1.0216 0.4439 1.9002 1.5053 Inf -0.2437 0.8644 0.0884 0.359 1.1705 1.0523 1.3371
"GCF_000020605.1_ASM2060v1" 1.3834 0.5616 2.4017 1.4166 Inf 0.8121 1.6025 0.2491 -0.2041 1.5363 1.4599 1.6283
"GCF_000144625.1_ASM14462v1" 0.4117 0.209 0.582 0.3033 1.0342 0.2242 0.0742 0.4821 0.1272 0.4408 0.4222 0.4262
"GCA_000210535.1_ASM21053v1" 1.1055 0.2857 2.0351 1.1618 Inf 1.2247 1.2693 0.1844 0.4349 0.5062 1.3391 1.3768
"GCA_000209895.1_ASM20989v1" 1.0646 0.5025 1.7467 1.7881 Inf 0.3619 0.82 0.27 0.5219 1.3699 0.8392 1.3091
"GCF_000018685.1_ASM1868v1" 1.1756 0.5968 1.5032 0.6125 1.7924 0.6834 0.5351 0.492 -0.6609 0.7397 0.9159 0.9826
"GCF_000247605.1_ASM24760v1" -0.0332 -0.1625 0.0568 0.2443 0.0148 0.0579 -0.1837 -0.0167 -0.1835 0.0688 0.1805 0.1354
"GCF_000152245.2_ASM15224v2" 0.3552 0.0984 0.8851 0.6726 0.3789 -0.4665 -1.1328 0.1817 -0.3817 0.3881 0.3613 0.5311
"GCF_000025225.2_ASM2522v1" 0.7451 1.0971 1.4628 1.3356 -0.7344 0.1275 -0.6034 0.3822 0.7112 0.7212 0.8557 1.0957
"GCF_000244875.1_ASM24487v1" 0.6302 0.5919 1.0995 0.8688 0.4699 0.6934 -0.8603 0.0535 0.2355 0.2557 0.9352 0.8914
"GCF_000022065.1_ASM2206v1" 0.1054 0.7167 1.1384 0.6665 0.6258 0.2889 -0.6572 -0.0653 0.1019 -0.0583 0.838 0.6841
"GCF_000184925.1_ASM18492v1" 0.4349 0.303 0.6785 0.5991 0.6774 0.3098 -0.3578 0.3926 0.1563 0.2916 0.0856 0.437
"GCF_000237085.1_ASM23708v1" 0.184 0.5201 0.5982 0.3133 0.2094 -0.2238 -0.5497 0.3286 -0.2827 0.3874 0.5106 0.3998
"GCF_000016545.1_ASM1654v1" 0.4414 0.8719 0.5616 0.5565 0.7015 0.4956 0.3292 0.3603 -0.2363 0.0927 0.1202 0.3889
"GCF_000166355.1_ASM16635v1" 0.6913 0.4636 0.7053 0.649 0.866 0.3653 0.4186 0.4821 -0.172 0.427 0.3215 0.568
"GCF_000166775.1_ASM16677v1" 0.3833 0.6349 0.6318 0.8137 1.0392 0.3738 0.1903 0.5553 -0.411 1.3867 0.242 0.4988
"GCF_000166695.1_ASM16669v1" 0.519 0.6864 0.6744 0.8494 1.1676 0.5141 0.3657 0.769 0.4496 0.8785 0.3318 0.5666
"GCF_000166335.1_ASM16633v1" 0.5124 0.0249 0.5815 0.3879 0.414 0.3832 0.2613 0.5065 0.8993 0.9139 0.3094 0.4372
"GCF_000145215.1_ASM14521v1" 0.1619 -0.3705 0.4897 0.605 0.6277 0.4495 0.3256 0.5263 0.4194 1.0207 0.1856 0.349
"GCF_000213235.1_ASM21323v1" 1.5615 0.9908 1.0025 1.8527 -1.0499 -0.8791 -0.5982 1.4704 0.8221 1.7729 1.6135 1.5204
"GCF_000144645.1_ASM14464v1" 0.6428 0.1012 0.4436 0.7261 1.6107 0.2714 0.1872 0.1738 1.754 0.5805 0.6078 0.6003
"GCF_000166415.1_ASM16641v1" -0.5385 -0.0491 0.3094 0.2598 0.3157 -0.1765 -0.3015 0.1428 0.3346 0.1205 0.343 0.1734
"GCF_000165465.1_ASM16546v1" 0.5197 0.6318 0.5301 0.3866 0.6806 0.2052 -0.3285 0.3978 0.1144 -0.0732 0.112 0.3412
"GCF_000020485.1_ASM2048v1" 0.3069 0.7302 -0.194 0.2096 0.5656 0.1606 -0.0882 0.1598 -1.2133 -0.0496 0.0423 0.109
"GCF_000144695.1_ASM14469v1" 0.0916 1.1212 0.479 -0.357 0.5658 0.2749 -0.1343 0.1911 -0.731 0.9612 -0.099 -0.0485
"GCF_000020005.1_ASM2000v1" 0.5653 0.0737 0.3572 0.3125 -0.0161 0.0661 -0.2801 0.6974 -0.1379 0.8519 0.4179 0.4082
"GCA_000219855.1_ASM21985v1" 0.156 0.1932 -0.42 0.3299 -0.2423 -0.0224 -0.5205 0.2488 -0.7916 -0.4633 -0.1838 -0.0775
"GCF_000184705.1_ASM18470v1" 1.021 1.3893 0.9994 1.5742 1.9231 2.1886 0.788 1.1824 Inf 1.6105 1.1929 1.183
"GCF_000009905.1_ASM990v1" 0.4556 1.2352 0.864 0.5646 1.6487 1.6767 0.9382 0.471 0.728 1.1871 0.7468 0.6815
"GCF_000195335.1_ASM19533v1" 0.8019 1.804 0.9104 0.4895 0.7159 0.6243 0.0828 0.8849 -0.3676 2.2938 0.808 0.7678
"GCF_000183745.1_ASM18374v1" Inf 1.56 1.422 0.6837 1.6355 1.0415 0.5507 0.658 Inf 0.5299 0.1415 Inf
"GCF_000092125.1_ASM9212v1" 1.092 1.2987 0.7344 2.1488 0.8596 0.7243 0.5562 0.6869 1.1199 1.3679 1.2566 1.2823
"GCF_000024425.1_ASM2442v1" 0.633 0.7444 0.6977 1.2658 0.4238 0.4918 0.1943 0.6724 1.3463 0.6617 0.3188 0.6619
"GCF_000187005.1_ASM18700v1" 0.5759 1.2822 0.5741 1.9289 0.9298 0.9522 0.7217 0.5631 Inf 1.0988 0.8303 0.8856
"GCF_000309885.1_ASM30988v1" 0.7125 0.5281 0.0441 0.858 1.8876 1.1128 0.8844 0.3122 Inf 0.8915 0.0392 0.3065
"GCF_000236585.1_ASM23658v1" 2.2926 0.8249 0.192 0.8855 1.4971 0.9309 0.6217 0.5522 Inf Inf -0.2131 0.5713
"GCF_000258245.1_ASM25824v1" 0.123 0.5153 0.2601 1.0477 0.7422 0.7823 0.4222 0.7485 Inf 1.0022 -0.1419 0.226
"GCF_000091545.1_ASM9154v1" -0.0485 1.5016 0.2992 1.3777 0.9782 1.0082 0.8224 1.2575 Inf 0.8486 -0.2029 0.2364
"GCF_000186385.1_ASM18638v1" 0.6858 2.7148 1.6788 1.3432 -0.2101 -0.3839 -1.4318 1.3438 Inf 1.2363 1.0196 1.1993
"GCF_000317835.1_ASM31783v1" 1.2346 1.0565 0.6375 0.9399 1.6309 0.8091 0.1093 0.7838 1.2116 0.7966 0.5225 0.7949
"GCF_000252445.1_ASM25244v1" 1.7536 1.9147 2.0175 2.3822 1.408 1.5271 -0.5511 1.4978 1.6452 2.8478 0.7536 1.6461
"GCF_000020685.1_ASM2068v1" 1.94 2.07 1.1583 1.6104 1.5232 1.4137 -0.3714 0.9937 Inf 1.1547 1.3013 1.4696
"GCF_000008565.1_ASM856v1" 0.9505 1.3599 1.4772 1.4895 1.5074 1.6759 -0.9185 0.7667 0.6965 2.0406 0.8039 1.1606
"GCF_000190555.1_ASM19055v1" 2.0528 1.7444 1.5 1.6965 1.1354 0.4637 -0.7128 0.5671 Inf 0.8795 0.7819 1.3881
"GCF_000196275.1_ASM19627v1" 0.6733 0.1687 0.0049 0.3031 0.3439 0.8092 -0.2742 0.36 0.309 0.8713 0.2133 0.2803
"GCF_000092425.1_ASM9242v1" 0.2026 1.4511 -0.2511 1.3761 0.1204 -0.1075 -0.3208 0.9826 1.0604 2.0093 0.3195 0.2894
"GCF_000011385.1_ASM1138v1" 0.513 0.2924 0.4096 0.717 0.9175 0.5675 -0.0798 0.4726 0.3771 0.8173 0.4798 0.5169
"GCF_000013225.1_ASM1322v1" 0.711 1.1367 -0.0093 0.5591 -0.086 -0.279 -0.0762 0.3175 0.7807 0.7359 0.0578 0.2695
"GCF_000013205.1_ASM1320v1" 0.3975 0.4995 0.117 1.4161 -0.2649 -0.1739 0.0163 0.2941 0.5741 0.6573 -0.2461 0.332
"GCF_000063525.1_ASM6352v1" 1.0953 0.1621 0.5079 0.9266 -0.0716 1.2459 -0.2334 0.5777 1.2843 0.9055 0.5124 0.7158
"GCF_000014585.1_ASM1458v1" 0.9608 1.2877 2.1555 1.8993 0.815 0.885 -0.0375 0.6481 0.8294 1.0255 1.1662 1.5844
"GCF_000063505.1_ASM6350v1" 1.0113 1.9307 2.177 1.861 1.165 1.665 0.0783 1.0358 1.2562 1.4947 1.6574 1.7312
"GCF_000195975.1_ASM19597v1" 0.9458 1.6479 1.5353 1.5041 0.6372 1.3893 0.3668 0.5839 0.7601 1.2597 1.1025 1.2754
"GCF_000012625.1_ASM1262v1" 0.9558 2.1578 1.8709 1.507 0.808 1.2579 0.0791 0.8582 1.5242 1.8043 1.02 1.3325
"GCF_000012505.1_ASM1250v1" 1.1405 1.8889 2.3653 1.6674 0.9109 0.4814 0.066 1.1623 0.9487 2.0242 0.8768 1.5251
"GCF_000018585.1_ASM1858v1" -0.0267 -0.1929 1.0588 0.9163 0.0801 0.9055 0.2133 0.8299 -0.5879 0.599 1.4165 0.7832
"GCF_000011465.1_ASM1146v1" 1.1592 2.0908 1.6173 1.3145 1.1436 0.6026 0.5965 0.006 -0.0522 0.2642 0.7377 1.2129
"GCF_000015665.1_ASM1566v1" 1.2131 1.2206 1.5308 0.9299 1.1002 0.58 0.553 0.512 0.2862 0.231 0.6364 1.0359
"GCF_000018065.1_ASM1806v1" 1.2766 1.541 1.2128 0.9233 0.5428 0.0178 0.3149 -0.1781 -0.6022 0.8037 0.4939 0.8794
"GCF_000015965.1_ASM1596v1" 0.7154 0.5044 1.3257 1.4436 0.4852 0.0417 -0.3033 0.9964 0.4276 0.5382 0.9684 1.144
"GCF_000015645.1_ASM1564v1" 1.3592 1.9948 1.9174 1.6879 0.7529 0.1615 0.5252 0.9028 0.2728 0.4874 0.8057 1.4335
"GCF_000012645.1_ASM1264v1" 1.2466 2.9182 2.3611 1.7673 0.7212 0.5568 0.7429 0.5831 0.1679 -0.2797 1.1783 1.6661
"GCF_000015685.1_ASM1568v1" 1.6105 2.2973 2.3681 2.2702 1.2348 1.4426 0.7224 0.7016 0.5212 0.2538 1.5212 1.9811
"GCF_000015705.1_ASM1570v1" 0.0783 0.4228 0.0661 0.0441 0.2265 0.3776 0.1244 -0.057 -0.4896 0.3636 -0.5793 -0.1242
"GCF_000012525.1_ASM1252v1" 1.9173 2.3585 1.654 1.3809 -0.8559 -0.8568 -0.063 1.1248 1.0058 2.1183 1.0292 1.41
"GCF_000011345.1_ASM1134v1" 0.509 0.3957 0.538 0.9939 0.219 0.106 0.3013 0.5485 2.2916 0.6885 1.0782 0.8475
"GCF_000022045.1_ASM2204v1" 1.1105 0.5615 1.0869 0.7551 0.1726 0.3847 -0.2623 -0.0572 0.1729 1.1352 0.7426 0.8861
"GCF_000018105.1_ASM1810v1" 0.0156 0.2833 0.1944 0.2473 -0.1136 0.0831 0.1398 0.4712 0.0354 0.2383 0.0599 0.1319
"GCF_000014265.1_ASM1426v1" 0.28 1.4104 0.7303 0.4564 0.054 0.1272 0.2479 0.4325 0.1287 0.0526 0.3933 0.4671
"GCF_000210375.1_ASM21037v1" 1.4498 1.3429 1.2054 0.2908 0.5328 -0.1693 0.3815 -0.3931 0.7218 -0.1713 0.2502 0.6662
"GCF_000020025.1_ASM2002v1" 1.055 1.2712 1.421 1.0487 -0.0775 0.1339 -0.019 0.5342 0.7266 0.8612 0.8815 1.0756
"GCA_000204075.1_ASM20407v1" 1.5079 1.8442 1.8183 2.0089 -0.4102 0.3299 -0.4613 1.1628 1.4192 1.4606 1.2584 1.6074
"GCF_000196515.1_ASM19651v1" 1.221 1.9048 1.4004 1.3486 -0.3018 0.711 -0.3961 0.6392 0.8366 0.9154 0.8447 1.1486
"GCF_000021805.1_ASM2180v1" 0.9449 1.427 1.0782 0.814 0.0578 -0.2789 0.0363 0.7431 0.2237 1.237 1.0141 0.9612
"GCF_000017845.1_ASM1784v1" 1.388 1.4032 1.3288 1.0526 -0.0407 0.4147 -0.1402 0.5252 0.2275 0.6005 1.0725 1.1769
"GCF_000010625.1_ASM1062v1" 0.5273 1.3078 1.1199 1.0211 -0.3197 -0.6163 -0.3873 0.3543 0.252 0.3879 0.9275 0.9143
"GCF_000021825.1_ASM2182v1" 0.9884 1.3397 1.296 0.9353 0.0781 0.0908 0.1403 0.2796 0.8971 1.3022 0.7148 0.9439
"GCF_000147335.1_ASM14733v1" 0.7516 1.1644 1.4077 0.6477 0.0635 0.3722 -0.4437 0.0951 0.1215 0.1995 0.7102 0.8423
"GCF_000019485.1_ASM1948v1" 0.8717 1.3309 1.2755 1.163 -0.265 0.3186 -0.2512 0.5425 -0.1668 0.7759 0.7475 0.9924
"GCF_000009725.1_ASM972v1" 0.655 0.7328 0.9811 1.0465 -0.1343 -0.2229 -0.2576 0.3753 -0.1454 0.5716 0.4418 0.7433
"GCF_000143165.1_ASM14316v1" 0.4536 1.2324 1.2609 1.1129 3.1871 0.5183 -0.1286 0.3216 -1.2731 0.501 0.6874 0.8419
"GCF_000025585.1_ASM2558v1" -0.2939 -0.7762 0.0195 -0.0764 1.1245 0.3116 -0.4461 0.7105 -0.5933 0.0134 0.3599 0.0743
"GCF_000011905.1_ASM1190v1" 0.7008 0.4214 -0.2361 0.0355 1.4272 0.1343 -0.5924 0.0387 0.4898 -0.1423 -0.1921 0.009
"GCF_000025025.1_ASM2502v1" 0.7472 0.4437 -0.4954 0.6205 1.6988 0.3838 -0.6857 0.521 -0.1335 0.5937 0.3869 0.3294
"GCF_000021685.1_ASM2168v1" 0.9721 0.7253 1.4901 0.9272 1.0271 1.1012 0.4713 0.5142 0.4024 1.079 1.1541 1.1684
"GCF_000024985.1_ASM2498v1" 0.6511 0.6506 1.0961 0.9283 1.4556 1.1809 0.5184 0.5732 0.7852 1.4688 0.9605 0.9282
"GCF_000025005.1_ASM2500v1" 1.9632 1.4798 2.0516 2.8382 2.7714 2.3942 1.7304 1.4175 0.8545 2.4091 2.7814 2.3556
"GCA_000018565.1_ASM1856v1" 1.0456 0.9809 1.3484 1.0263 -1.5257 0.2169 -1.5454 0.6278 -0.5488 1.012 0.6788 0.9658
"GCF_000021945.1_ASM2194v1" 0.4726 1.0717 -0.1611 1.1539 -0.2717 -0.1429 0.9219 0.6522 0.2237 2.1987 -0.7043 0.1344
"GCF_000022185.1_ASM2218v1" 0.3045 0.7569 0.7932 0.7209 0.8224 0.799 0.3888 0.2767 -0.0673 0.5575 0.0927 0.4094
"GCF_000016665.1_ASM1666v1" -0.3321 0.1253 0.7186 0.0193 -0.2286 0.1758 0.2599 -0.1556 0.1784 0.6101 0.2869 0.2182
"GCF_000017805.1_ASM1780v1" -0.3547 -0.4765 0.5972 0.8446 -0.2602 0.6237 0.3203 0.4984 -0.002 0.8295 -0.3473 0.2175
"GCF_000199675.1_ASM19967v1" 0.9284 1.1328 1.0371 0.9513 1.0657 0.6098 -0.08 0.3436 1.0167 1.0199 0.5197 0.8148
"GCF_000023845.1_ASM2384v1" NA NA NA NA NA NA NA NA NA NA NA NA
"GCF_000270285.1_ASM27028v1" 1.7154 0.7326 2.1715 2.0395 1.4144 1.4897 1.2771 1.4706 1.8904 1.4809 1.8808 1.9459
"GCF_000210055.1_ASM21005v1" 1.4199 0.7023 1.4339 1.238 1.542 1.3958 0.7539 0.6046 0.7064 Inf 1.0636 1.2593
"GCF_000024265.1_ASM2426v1" 1.5534 0.9001 0.9849 1.5899 1.5385 1.7016 0.8384 0.9699 2.1524 1.8289 0.9595 1.2157
"GCF_000023885.1_ASM2388v1" 1.1008 0.1945 1.6056 2.0096 1.6754 1.5242 0.6571 0.7001 0.9034 1.6068 0.9652 1.3979
"GCF_000024225.1_ASM2422v1" 1.1753 1.0222 1.124 1.645 2.0815 1.461 2.2499 0.855 0.6109 1.9459 0.4906 1.0132
"GCF_000143845.1_ASM14384v1" 0.3426 0.6437 1.7716 1.0814 2.1881 1.8628 3.2559 0.5741 -0.4176 0.7674 1.154 1.1582
"GCF_000195315.1_ASM19531v1" 0.6408 0.0248 0.9427 1.2802 0.6406 0.727 1.2772 0.1424 Inf 1.7135 0.9532 0.9803
"GCF_000177615.2_ASM17761v2" 0.924 0.9997 1.0182 1.4171 1.5683 2.2054 0.931 0.8297 0.0695 0.7387 0.8298 1.0095
"GCF_000058485.1_ASM5848v1" 0.4622 1.2867 0.765 1.2557 1.7622 2.3894 0.9943 0.8712 0.3313 0.8446 0.5254 0.7087
"GCF_000013345.1_ASM1334v1" 0.9083 1.4101 1.0899 1.415 1.368 2.419 1.3095 0.9465 0.946 0.5893 0.6816 0.9602
"GCF_000018005.1_ASM1800v1" 0.8661 0.8579 1.6776 1.5782 1.6627 1.8563 0.9806 1.0575 0.2491 0.7576 0.8963 1.2273
"GCF_000166135.1_ASM16613v1" 1.2429 1.2771 2.2101 2.3196 2.608 2.3258 1.2474 1.3469 0.7893 0.9536 0.9632 1.5946
"GCF_000015025.1_ASM1502v1" 0.9136 1.5742 1.1469 0.6979 0.7337 1.6158 0.4963 0.9815 0.8718 -0.0384 0.8896 0.9149
"GCF_000023405.1_ASM2340v1" 0.961 1.5727 Inf 2.8314 Inf 2.8985 1.2705 0.458 0.1854 -0.7514 1.4331 Inf
"GCF_000025205.1_ASM2520v1" 1.4998 1.5065 1.8119 1.686 2.7908 3.0707 0.0529 0.4652 1.3083 2.4379 1.5447 1.628
"GCF_000213955.1_ASM21395v1" -0.0697 0.9779 1.5359 0.242 3.1814 3.385 0.6164 -0.5269 Inf 0.7981 1.0815 0.6462
"GCF_000024445.1_ASM2444v1" 1.494 2.203 2.9913 2.1316 4.305 3.7212 0.7476 0.3551 2.1772 1.2627 1.3415 1.9409
"GCF_000010425.1_ASM1042v1" 2.0233 2.056 2.5655 2.2785 4.0422 4.0304 1.2676 0.2021 1.6887 1.3275 0.9699 1.9174
"GCF_000165905.1_ASM16590v1" 1.8438 2.7672 1.133 2.2324 Inf 3.2482 0.744 0.7198 0.7758 1.4234 1.2959 1.6005
"GCF_000213865.1_ASM21386v1" 2.458 3.4678 4.021 2.3227 4.2153 3.6956 0.9649 1.0787 Inf 2.2083 0.9123 2.2486
"GCF_000092325.1_ASM9232v1" 2.7554 3.6669 3.1682 2.3037 4.3209 4.39 1.0917 1.1736 Inf 2.1234 1.3653 2.3362
"GCF_000210755.1_ASM21075v1" 2.8274 3.0364 2.7584 2.5218 3.0931 4.2654 0.9604 0.9658 Inf 1.1712 1.1815 2.2133
"GCF_000022705.1_ASM2270v1" 1.3063 0.9169 Inf 1.5451 1.4766 2.127 0.4763 0.2278 0.8741 Inf 1.144 Inf
"GCF_000224965.2_ASM22496v2" 1.3062 0.916 Inf 1.5437 1.4743 2.1251 0.4766 0.2275 0.8702 Inf 1.1426 Inf
"GCF_000196535.1_ASM19653v1" 1.6333 0.5469 1.1249 0.2938 1.8724 2.3187 0.3298 -0.3872 0.4785 -0.0036 -0.0652 0.5912
"GCF_000092365.1_ASM9236v1" 3.1561 2.2837 1.9443 2.0327 2.6024 2.5027 -0.6408 0.5547 -0.3341 1.298 0.7775 1.6454
"GCF_000023105.1_ASM2310v1" 0.6318 1.3183 0.9253 1.9664 2.165 0.9999 0.8285 1.6074 0.4652 1.6732 0.2449 0.8131
"GCF_000218545.1_ASM21854v1" 1.8672 Inf Inf 0.7571 Inf Inf 1.2294 1.1023 -0.45 Inf 0.6744 Inf
"GCF_000092865.1_ASM9286v1" Inf Inf Inf 0.8346 Inf Inf 1.8411 2.2204 0.4062 Inf 1.3361 Inf
"GCF_000024925.1_ASM2492v1" 1.4612 1.0994 Inf 1.4068 0.8407 1.6288 -0.0988 0.5886 0.0674 0.5811 0.3894 Inf
"GCF_000024065.1_ASM2406v1" 1.8172 1.6288 0.769 2.2526 0.688 1.159 -0.1892 0.5737 0.9259 0.6051 1.117 1.416
"GCF_000215105.1_ASM21510v1" 0.4913 1.5229 Inf Inf Inf Inf 1.2964 0.8996 Inf Inf 1.1846 Inf
