"ENCp_HEG" "ENCp_rest" "deltaENCp"
"GCF_000016365.1_ASM1636v1" 49.7768 54.585 0.0881
"GCF_000015305.1_ASM1530v1" 50.2245 54.6018 0.0802
"GCF_000015405.1_ASM1540v1" 48.8376 54.2543 0.0998
"GCF_000015005.1_ASM1500v1" 48.2837 53.8103 0.1027
"GCF_000214155.1_ASM21415v1" 49.9582 52.7373 0.0527
"GCF_000277145.1_ASM27714v1" 52.1517 54.2937 0.0395
"GCF_000014985.1_ASM1498v1" 51.9336 53.2824 0.0253
"GCF_000026685.1_ASM2668v1" 53.8162 56.7822 0.0522
"GCF_000154605.2_ASM15460v2" 53.5799 54.9704 0.0253
"GCF_000153685.2_ASM15368v2" 53.564 54.9268 0.0248
"GCF_000023625.1_ASM2362v1" 53.5788 54.958 0.0251
"GCA_000277085.1_ASM27708v1" 53.6391 55.1428 0.0273
"GCF_000224435.1_ASM22443v1" 53.5861 54.9456 0.0247
"GCA_000013925.1_ASM1392v1" 51.9578 54.5955 0.0483
"GCF_000069185.1_ASM6918v1" 48.6731 55.2034 0.1183
"GCF_000196675.1_ASM19667v1" 51.0795 55.811 0.0848
"GCF_000062885.1_ASM6288v1" 50.1328 54.8356 0.0858
"GCF_000023245.1_ASM2324v1" 50.7368 55.6401 0.0881
"GCF_000220945.1_ASM22094v1" 49.6061 54.0521 0.0823
"GCF_000023865.1_ASM2386v1" 50.6792 54.4017 0.0684
"GCF_000196835.1_ASM19683v1" 49.6006 53.9863 0.0812
"GCF_000024365.1_ASM2436v1" 50.0207 52.1267 0.0404
"GCF_000025345.1_ASM2534v1" 51.555 55.2352 0.0666
"GCF_000024545.1_ASM2454v1" 48.9461 52.7261 0.0717
"GCF_000237145.1_ASM23714v1" 49.3073 53.252 0.0741
"GCF_000016425.1_ASM1642v1" 51.3877 55.3843 0.0722
"GCF_000018265.1_ASM1826v1" 50.8804 55.1067 0.0767
"GCF_000204155.1_ASM20415v1" 49.5611 53.3857 0.0716
"GCF_000177655.2_ASM17765v2" 49.2117 54.2965 0.0936
"GCF_000092645.1_ASM9264v1" 53.5461 56.3973 0.0506
"GCF_000024865.1_ASM2486v1" 50.3159 56.0791 0.1028
"GCF_000092985.1_ASM9298v1" 49.8733 54.7917 0.0898
"GCF_000012405.1_ASM1240v1" 52.0797 55.2707 0.0577
"GCF_000023265.1_ASM2326v1" 53.3274 53.563 0.0044
"GCF_000025265.1_ASM2526v1" 50.5483 51.8702 0.0255
"GCF_000014185.1_ASM1418v1" 55.8978 57.3788 0.0258
"GCF_000025185.1_ASM2518v1" 45.583 52.5207 0.1321
"GCF_000196115.1_ASM19611v1" 45.8123 52.0537 0.1199
"GCF_000092105.1_ASM9210v1" 52.447 54.7564 0.0422
"GCA_000165715.3_ASM16571v3" 47.6703 52.9149 0.0991
"GCF_000186345.1_ASM18634v1" 53.0017 54.8325 0.0334
"GCA_000242455.3_ASM24245v3" 54.9711 56.5971 0.0287
"GCF_000237205.1_ASM23720v1" 54.9347 56.6735 0.0307
"GCF_000011565.1_ASM1156v1" 51.411 56.0791 0.0832
"GCF_000092785.1_ASM9278v1" 53.3399 55.924 0.0462
"GCF_000253035.1_ASM25303v1" 51.4333 56.2967 0.0864
"GCF_000006685.1_ASM668v1" 51.4727 57.0322 0.0975
"GCF_000226605.1_ASM22660v1" 51.9663 57.0495 0.0891
"GCF_000011165.1_ASM1116v1" 54.2606 58.1339 0.0666
"GCF_000204135.1_ASM20413v1" 54.4649 56.8329 0.0417
"GCF_000026025.1_ASM2602v1" 54.3834 57.7049 0.0576
"GCF_000191925.1_ASM19192v1" 54.0428 57.6814 0.0631
"GCF_000007605.1_ASM760v1" 53.6909 57.1648 0.0608
"GCF_000009945.1_ASM994v1" 53.69 57.818 0.0714
"GCF_000025905.1_ASM2590v1" 43.7901 54.4159 0.1953
"GCF_000019965.1_ASM1996v1" 51.3143 53.6323 0.0432
"GCA_000242935.3_ASM24293v3" 52.6844 54.5382 0.034
"GCF_000019665.1_ASM1966v1" 55.7437 55.7532 2e-04
"GCF_000020225.1_ASM2022v1" 46.8552 49.8808 0.0607
"GCF_000143725.1_ASM14372v1" 50.3301 52.679 0.0446
"GCF_000092845.1_ASM9284v1" 51.0035 52.5976 0.0303
"GCF_000022105.1_ASM2210v1" 49.804 51.9109 0.0406
"GCF_000223215.1_ASM22321v1" 50.3489 52.6218 0.0432
"GCF_000019685.1_ASM1968v1" 55.4848 57.944 0.0424
"GCF_000012085.1_ASM1208v1" 55.4784 57.5782 0.0365
"GCF_000165595.2_ASM16559v2" 54.0897 56.593 0.0442
"GCF_000222305.1_ASM22230v1" 54.1135 56.4542 0.0415
"GCF_000196215.1_ASM19621v1" 54.7126 56.0397 0.0237
"GCA_000166655.2_ASM16665v1" 54.1337 56.5745 0.0431
"GCF_000147075.1_ASM14707v1" 51.7475 52.6466 0.0171
"GCA_000184345.2_ASM18434v2" 51.6996 52.9779 0.0241
"GCA_000242595.3_ASM24259v3" 49.2945 50.5158 0.0242
"GCF_000214355.1_ASM21435v1" 53.205 54.2495 0.0193
"GCF_000214375.1_ASM21437v1" 49.8067 51.2845 0.0288
"GCF_000212415.1_ASM21241v1" 47.5967 49.2898 0.0343
"GCF_000195275.1_ASM19527v1" 42.5391 49.91 0.1477
"GCF_000008185.1_ASM818v1" 51.4385 56.0139 0.0817
"GCF_000024485.1_ASM2448v1" 56.86 56.3815 -0.0085
"GCF_000246775.1_ASM24677v1" 56.8895 56.3689 -0.0092
"GCF_000208385.1_ASM20838v1" 51.8937 55.5047 0.0651
"GCF_000190435.1_ASM19043v1" 51.552 56.9082 0.0941
"GCF_000236685.1_ASM23668v1" 51.9084 56.704 0.0846
"GCF_000143985.1_ASM14398v1" 53.0603 56.4802 0.0606
"GCF_000266885.1_ASM26688v1" 47.5369 52.312 0.0913
"GCF_000017685.1_ASM1768v1" 52.4261 56.09 0.0653
"GCF_000007685.1_ASM768v1" 52.7928 56.7678 0.07
"GCF_000231175.1_ASM23117v1" 52.6729 56.8384 0.0733
"GCF_000013945.1_ASM1394v1" 51.5766 55.3106 0.0675
"GCF_000024665.1_ASM2466v1" 41.8201 50.7253 0.1756
"GCF_000010305.1_ASM1030v1" 45.7978 51.5796 0.1121
"GCF_000020525.1_ASM2052v1" 51.1686 50.4224 -0.0148
"GCF_000020625.1_ASM2062v1" 52.3023 55.6912 0.0609
"GCF_000020545.1_ASM2054v1" 54.221 56.1819 0.0349
"GCF_000006985.1_ASM698v1" 51.3033 54.6636 0.0615
"GCF_000020505.1_ASM2050v1" 50.8287 54.4369 0.0663
"GCF_000020465.1_ASM2046v1" 51.9355 54.9275 0.0545
"GCF_000015125.1_ASM1512v1" 53.2025 55.8526 0.0474
"GCF_000016085.1_ASM1608v1" 52.1897 55.0447 0.0519
"GCF_000012485.1_ASM1248v1" 52.8114 55.4792 0.0481
"GCF_000020645.1_ASM2064v1" 52.7665 56.3993 0.0644
"GCF_000012585.1_ASM1258v1" 49.1417 49.4134 0.0055
"GCF_000218895.1_ASM21889v1" 47.8225 53.2855 0.1025
"GCF_000263195.1_ASM26319v1" 43.2683 56.0236 0.2277
"GCA_000024525.1_ASM2452v1" 47.078 53.2659 0.1162
"GCF_000023125.1_ASM2312v1" 46.5227 53.2445 0.1262
"GCF_000166395.1_ASM16639v1" 46.9412 57.5909 0.1849
"GCF_000014145.1_ASM1414v1" 47.5182 52.361 0.0925
"GCF_000020565.1_ASM2056v1" 55.7181 57.3698 0.0288
"GCF_000183425.1_ASM18342v1" 51.8035 57.5724 0.1002
"GCF_000265505.1_ASM26550v1" 47.2991 55.1993 0.1431
"GCF_000222485.1_ASM22248v1" 52.2558 56.7882 0.0798
"GCF_000325705.1_ASM32570v1" 50.5797 56.2803 0.1013
"GCA_000242635.3_ASM24263v3" 48.5549 56.56 0.1415
"GCF_000192845.1_ASM19284v1" 48.4176 57.7424 0.1615
"GCF_000023825.1_ASM2382v1" 46.7074 54.2498 0.139
"GCF_000238215.1_ASM23821v1" 48.2168 54.1169 0.109
"GCF_000190535.1_ASM19053v1" 46.3759 52.5772 0.1179
"GCF_000212375.1_ASM21237v1" 46.817 53.7802 0.1295
"GCF_000007585.1_ASM758v1" 49.6455 56.143 0.1157
"GCF_000183135.1_ASM18313v1" 46.2588 55.2823 0.1632
"GCF_000010645.1_ASM1064v1" 55.2103 57.3709 0.0377
"GCF_000012825.1_ASM1282v1" 44.5038 53.468 0.1677
"GCF_000190575.1_ASM19057v1" 45.3324 53.3019 0.1495
"GCF_000025985.1_ASM2598v1" 44.6745 54.1515 0.175
"GCF_000011065.1_ASM1106v1" 45.8042 53.6119 0.1456
"GCA_000210075.1_ASM21007v1" 47.3065 53.7305 0.1196
"GCF_000186225.1_ASM18622v1" 47.3893 53.7013 0.1175
"GCF_000025925.1_ASM2592v1" 40.5687 49.592 0.182
"GCF_000163055.2_ASM16305v2" 46.0265 55.1092 0.1648
"GCF_000144405.1_ASM14440v1" 41.1805 52.4276 0.2145
"GCF_000261025.1_ASM26102v1" 44.4364 53.5233 0.1698
"GCF_000220215.1_ASM22021v1" 49.9509 54.0361 0.0756
"GCF_000012845.1_ASM1284v1" 44.7862 53.1059 0.1567
"GCF_000512915.1_ASM51291v1" 45.6594 53.187 0.1415
"GCF_000265365.1_ASM26536v1" 47.3992 52.3205 0.0941
"GCF_000194605.1_ASM19460v1" 44.071 54.6506 0.1936
"GCF_000236405.1_ASM23640v1" 54.7192 56.4636 0.0309
"GCF_000233435.1_ASM23343v1" 53.8642 55.4381 0.0284
"GCF_000022605.2_ASM2260v1" 53.1844 55.3396 0.0389
"GCF_000093165.1_ASM9316v1" 53.8949 55.8986 0.0358
"GCF_000265465.1_ASM26546v1" 48.5716 54.6018 0.1104
"GCF_000023725.1_ASM2372v1" 47.4508 54.4093 0.1279
"GCF_000183155.1_ASM18315v1" 47.4876 56.9911 0.1668
"GCF_000191565.1_ASM19156v1" 47.8438 57.2027 0.1636
"GCF_000189415.1_ASM18941v1" 47.688 55.514 0.141
"GCF_000016645.1_ASM1664v1" 46.531 55.295 0.1585
"GCF_000064305.2_ASM6430v2" 48.5599 56.8879 0.1464
"GCF_000220625.1_ASM22062v1" 47.8451 54.9632 0.1295
"GCF_000023285.1_ASM2328v1" 46.1243 52.2421 0.1171
"GCF_000024125.1_ASM2412v1" 50.424 51.9144 0.0287
"GCF_000153165.2_ASM15316v2" 51.7292 57.7963 0.105
"GCF_000190595.1_ASM19059v1" 48.4176 54.0337 0.1039
"GCF_000186265.1_ASM18626v1" 50.1384 57.7088 0.1312
"GCF_000152945.2_ASM15294v2" 48.2549 55.4105 0.1291
"GCA_000211855.3_ASM21185v3" 46.7491 55.0661 0.151
"GCF_000023465.1_ASM2346v1" 51.2753 57.3749 0.1063
"GCF_000060345.1_ASM6034v1" 50.6507 57.6871 0.122
"GCF_000265385.1_ASM26538v1" 49.6213 56.0691 0.115
"GCF_000224085.1_ASM22408v1" 47.9161 54.777 0.1253
"GCF_000240075.2_ASM24007v2" 45.9833 56.8685 0.1914
"GCF_000024005.1_ASM2400v1" 42.9502 51.8941 0.1723
"GCF_000246855.1_ASM24685v1" 44.9861 51.942 0.1339
"GCA_000243115.3_ASM24311v3" 47.8022 52.0094 0.0809
"GCF_000212735.1_ASM21273v1" 47.6709 52.3033 0.0886
"GCF_000250635.1_ASM25063v1" 45.1386 51.7295 0.1274
"GCF_000024845.1_ASM2484v1" 50.8011 51.6321 0.0161
"GCF_000224745.1_ASM22474v1" 50.5371 51.7673 0.0238
"GCF_000013045.1_ASM1304v1" 54.6315 56.3822 0.0311
"GCA_000146025.1_ASM14602v1" 52.8783 54.6452 0.0323
"GCF_000020145.1_ASM2014v1" 47.7138 51.0021 0.0645
"GCF_000020985.1_ASM2098v1" 53.4035 53.4478 8e-04
"GCF_000025725.1_ASM2572v1" 48.8645 53.9892 0.0949
"GCF_000183405.1_ASM18340v1" 53.4751 55.6654 0.0393
"GCF_000218625.1_ASM21862v1" 54.5164 55.3803 0.0156
"GCF_000177635.2_ASM17763v2" 50.1305 51.3424 0.0236
"GCF_000517565.1_ASM51756v1" 54.2484 55.0008 0.0137
"GCF_000194135.1_ASM19413v1" 52.2293 54.7214 0.0455
"GCF_000021725.1_ASM2172v1" 47.9685 54.0325 0.1122
"GCF_000012965.1_ASM1296v1" 48.522 54.996 0.1177
"GCF_000147355.1_ASM14735v1" 47.1878 56.3516 0.1626
"GCF_000183725.1_ASM18372v1" 43.314 53.1958 0.1858
"GCF_000186245.1_ASM18624v1" 49.3012 54.6845 0.0984
"GCF_000010345.1_ASM1034v1" 45.8242 55.3566 0.1722
"GCF_000017465.1_ASM1746v1" 51.2482 53.5295 0.0426
"GCF_000017725.1_ASM1772v1" 48.6284 51.3979 0.0539
"GCF_000017585.1_ASM1758v1" 50.8205 52.3068 0.0284
"GCF_000015085.1_ASM1508v1" 51.8803 55.5765 0.0665
"GCF_000019205.1_ASM1920v1" 50.2002 54.269 0.075
"GCF_000011865.1_ASM1186v1" 50.7912 54.5363 0.0687
"GCF_000017485.1_ASM1748v1" 50.8825 55.0397 0.0755
"GCF_000024885.1_ASM2488v1" 51.3194 53.3978 0.0389
"GCF_000265295.1_ASM26529v1" 51.7633 53.4024 0.0307
"GCF_000092245.1_ASM9224v1" 48.535 56.2076 0.1365
"GCF_000284355.1_ASM28435v1" 49.2122 55.346 0.1108
"GCF_000284235.1_ASM28423v1" 49.5502 55.8685 0.1131
"GCF_000014025.1_ASM1402v1" 49.341 55.2584 0.1071
"GCF_000196135.1_ASM19613v1" 48.2002 52.1831 0.0763
"GCF_000091985.1_ASM9198v1" 51.2264 51.4909 0.0051
"GCF_000200595.1_ASM20059v1" 47.9615 49.4184 0.0295
"GCF_000237285.1_ASM23728v1" 47.3807 49.8149 0.0489
"GCF_000011725.1_ASM1172v1" 48.4253 50.0274 0.032
"GCF_000270045.1_ASM27004v1" 48.4828 49.9904 0.0302
"GCF_000008525.1_ASM852v1" 48.6937 49.8737 0.0237
"GCF_000196755.1_ASM19675v1" 48.7492 50.1797 0.0285
"GCF_000021165.1_ASM2116v1" 48.7734 50.4589 0.0334
"GCF_000009305.1_ASM930v1" 49.6801 50.6482 0.0191
"GCF_000185245.1_ASM18524v1" 48.7775 50.0215 0.0249
"GCF_000148665.1_ASM14866v1" 48.4982 50.2299 0.0345
"GCF_000178935.2_ASM17893v2" 48.7994 50.1488 0.0269
"GCF_000255955.1_ASM25595v1" 48.9367 50.3396 0.0279
"GCF_000224575.1_ASM22457v1" 48.7514 50.1391 0.0277
"GCF_000007905.1_ASM790v1" 51.2302 52.7614 0.029
"GCF_000010325.1_ASM1032v1" 52.06 56.5711 0.0797
"GCF_000185805.1_ASM18580v1" 44.5929 49.7421 0.1035
"GCF_000191045.1_ASM19104v1" 47.2267 53.2762 0.1135
"GCF_000008625.1_ASM862v1" 46.9582 49.543 0.0522
"GCF_000020785.1_ASM2078v1" 50.6085 52.2778 0.0319
"GCF_000348765.2_ASM34876v2" 50.0058 52.1162 0.0405
"GCF_000010785.1_ASM1078v1" 49.8616 50.6667 0.0159
"GCF_000025605.1_ASM2560v1" 48.4905 50.5635 0.041
"GCF_000021545.1_ASM2154v1" 51.5064 52.6199 0.0212
"GCF_000020325.1_ASM2032v1" 52.4671 54.29 0.0336
"GCF_000021565.1_ASM2156v1" 43.8981 47.359 0.0731
"GCF_000196815.1_ASM19681v1" 53.9831 55.009 0.0186
"GCF_000226295.1_ASM22629v1" 55.9302 52.8323 -0.0586
"GCF_000014905.1_ASM1490v1" 49.8511 54.1051 0.0786
"GCF_000014005.1_ASM1400v1" 47.7506 54.1989 0.119
"GCF_000022565.1_ASM2256v1" 48.994 52.5888 0.0684
"GCF_000178975.2_ASM17897v2" 50.3363 57.3941 0.123
"GCF_000265425.1_ASM26542v1" 46.4826 54.0176 0.1395
"GCF_000179915.2_ASM17991v2" 50.0188 55.7273 0.1024
"GCF_000012885.1_ASM1288v1" 50.6783 53.2836 0.0489
"GCF_000020385.1_ASM2038v1" 49.5853 51.5655 0.0384
"GCF_000015045.1_ASM1504v1" 53.8329 54.4348 0.0111
"GCF_000210155.1_ASM21015v1" 55.8362 55.8414 1e-04
"GCF_000012925.1_ASM1292v1" 56.1206 56.4535 0.0059
"GCF_000022265.1_ASM2226v1" 54.0248 55.5977 0.0283
"GCF_000016745.1_ASM1674v1" 55.9607 56.587 0.0111
"GCF_000023645.1_ASM2364v1" 51.2753 57.3674 0.1062
"GCF_000175115.2_ASM17511v2" 50.2643 56.6913 0.1134
"GCF_000024325.1_ASM2432v1" 52.1546 54.2875 0.0393
"GCF_000023225.1_ASM2322v1" 52.0246 53.7037 0.0313
"GCF_000015485.1_ASM1548v1" 48.9075 54.7972 0.1075
"GCF_000021385.1_ASM2138v1" 46.3248 48.3134 0.0412
"GCF_000022125.1_ASM2212v1" 47.4991 50.7922 0.0648
"GCF_000010665.1_ASM1066v1" 49.7699 52.2705 0.0478
"GCF_000176915.2_ASM17691v2" 51.23 54.6839 0.0632
"GCF_000023445.1_ASM2344v1" 45.505 54.227 0.1608
"GCF_000092205.1_ASM9220v1" 49.3966 49.834 0.0088
"GCF_000025945.1_ASM2594v1" 50.7263 57.2312 0.1137
"GCF_000186885.1_ASM18688v1" 54.8152 52.6973 -0.0402
"GCF_000018405.1_ASM1840v1" 49.7244 49.0222 -0.0143
"GCF_000020365.1_ASM2036v1" 53.2071 53.9526 0.0138
"GCF_000014965.1_ASM1496v1" 55.2908 56.4412 0.0204
"GCF_000143965.1_ASM14396v1" 51.4868 49.91 -0.0316
"GCF_000013405.1_ASM1340v1" 55.2986 54.4848 -0.0149
"GCF_000266945.1_ASM26694v1" 56.4901 57.4814 0.0172
"GCF_000195295.1_ASM19529v1" 52.111 54.1728 0.0381
"GCF_000217795.1_ASM21779v1" 52.8333 55.8643 0.0543
"GCF_000196175.1_ASM19617v1" 40.6617 50.0073 0.1869
"GCF_000067165.1_ASM6716v1" 53.7197 55.6398 0.0345
"GCF_000024805.1_ASM2480v1" 51.4708 52.341 0.0166
"GCF_000255295.1_ASM25529v1" 49.6099 54.1478 0.0838
"GCF_000012685.1_ASM1268v1" 50.1284 55.186 0.0916
"GCF_000219105.1_ASM21910v1" 50.7957 55.1347 0.0787
"GCF_000165485.1_ASM16548v1" 52.5535 56.3901 0.068
"GCF_000017505.1_ASM1750v1" 53.0617 55.7604 0.0484
"GCF_000013385.1_ASM1338v1" 53.5945 55.9104 0.0414
"GCF_000221025.1_ASM22102v1" 53.458 55.3965 0.035
"GCF_000020825.1_ASM2082v1" 51.499 53.9035 0.0446
"GCA_000214095.3_ASM21409v3" 51.5739 54.5085 0.0538
"GCF_000024765.1_ASM2476v1" 47.7689 52.9685 0.0982
"GCF_000012605.1_ASM1260v1" 48.1062 52.6112 0.0856
"GCF_000214825.1_ASM21482v1" 47.2444 50.742 0.0689
"GCA_000227665.3_ASM22766v3" 47.6555 50.7839 0.0616
"GCF_000024085.1_ASM2408v1" 44.084 54.2585 0.1875
"GCF_000148645.1_ASM14864v1" 38.1931 48.3989 0.2109
"GCF_000014885.1_ASM1488v1" 43.0629 55.4724 0.2237
"GCF_000019185.1_ASM1918v1" 42.7704 54.6083 0.2168
"GCF_000018285.1_ASM1828v1" 42.0395 54.5633 0.2295
"GCF_000019525.1_ASM1952v1" 42.9504 56.5884 0.241
"GCF_000018025.1_ASM1802v1" 44.5865 56.7566 0.2144
"GCF_000091325.1_ASM9132v1" 45.5468 56.4713 0.1935
"GCF_000146165.2_ASM14616v2" 44.0221 52.5756 0.1627
"GCF_000203935.1_ASM20393v1" 41.0558 52.3136 0.2152
"GCF_000018765.1_ASM1876v1" 41.9 52.4502 0.2011
"GCF_000015185.1_ASM1518v1" 42.2208 53.4728 0.2104
"GCF_000169215.2_ASM16921v2" 42.9252 53.4738 0.1973
"GCF_000015285.1_ASM1528v1" 45.8005 53.7313 0.1476
"GCF_000196255.1_ASM19625v1" 43.0317 53.8911 0.2015
"GCF_000196495.1_ASM19649v1" 43.1347 53.8476 0.1989
"GCF_000020845.1_ASM2084v1" 40.5123 52.9287 0.2346
"GCF_000091465.1_ASM9146v1" 40.6436 52.9636 0.2326
"GCF_000017705.1_ASM1770v1" 38.082 52.6855 0.2772
"GCF_000024825.1_ASM2482v1" 37.9299 52.511 0.2777
"GCF_000196095.1_ASM19609v1" 37.7423 51.506 0.2672
"GCF_000009745.1_ASM974v1" 39.3955 52.267 0.2463
"GCF_000241385.1_ASM24138v1" 38.8589 53.2902 0.2708
"GCF_000217675.1_ASM21767v1" 41.9146 53.5355 0.2171
"GCF_000184325.1_ASM18432v1" 40.5682 48.2354 0.159
"GCF_000195065.1_ASM19506v1" 40.6001 51.5855 0.213
"GCF_000022585.1_ASM2258v1" 39.0992 51.6267 0.2427
"GCA_000166455.2_ASM16645v2" 39.4535 51.4374 0.233
"GCF_000209675.1_ASM20967v1" 41.865 49.6221 0.1563
"GCF_000234745.1_ASM23474v1" 42.0995 49.59 0.151
"GCF_000006825.1_ASM682v1" 41.7 48.9735 0.1485
"GCA_000016485.1_ASM1648v1" 44.111 49.4416 0.1078
"GCF_000165525.1_ASM16552v1" 41.6018 49.6231 0.1616
"GCF_000210895.1_ASM21089v1" 40.1855 48.5826 0.1728
"GCA_000241025.2_ASM24102v2" 45.0326 45.8367 0.0175
"GCF_000022985.1_ASM2298v1" 42.8436 47.9512 0.1065
"GCF_000007745.1_ASM774v1" 40.715 47.5955 0.1446
"GCF_000017245.1_ASM1724v1" 41.2861 47.1028 0.1235
"GCF_000021885.1_ASM2188v1" 40.1605 51.2973 0.2171
"GCF_000007945.1_ASM794v1" 43.0974 50.2938 0.1431
"GCF_000015885.1_ASM1588v1" 39.1195 45.6044 0.1422
"GCF_000011785.1_ASM1178v1" 44.4659 52.7001 0.1562
"GCF_000027225.1_ASM2722v1" 40.9775 53.654 0.2363
"GCF_000252955.1_ASM25295v1" 41.2064 53.8777 0.2352
"GCF_000196155.1_ASM19615v1" 44.1394 54.8846 0.1958
"GCF_000069965.1_ASM6996v1" 42.1758 52.7583 0.2006
"GCF_000009345.1_ASM934v1" 41.2652 51.3884 0.197
"GCF_000222975.1_ASM22297v1" 42.6904 52.3626 0.1847
"GCF_000007885.1_ASM788v1" 42.6976 52.4014 0.1852
"GCF_000241955.1_ASM24195v1" 41.1504 47.9819 0.1424
"GCF_000187705.1_ASM18770v1" 40.5844 47.9993 0.1545
"GCA_000648575.1_ASM64857v1" 39.6258 47.8954 0.1727
"GCF_000018085.1_ASM1808v1" 39.6511 48.2422 0.1781
"GCF_000146305.1_ASM14630v1" 38.0137 48.6267 0.2183
"GCF_000022885.2_ASM2288v2" 38.5023 49.7206 0.2256
"GCA_000023545.1_ASM2354v1" 38.7367 49.8644 0.2232
"GCA_000023565.1_ASM2356v1" 38.0233 49.3871 0.2301
"GCF_000025065.1_ASM2506v1" 40.1116 49.9117 0.1963
"GCF_000147055.1_ASM14705v1" 39.8677 47.9079 0.1678
"GCF_000024645.1_ASM2464v1" 42.7473 51.4624 0.1693
"GCF_000011605.1_ASM1160v1" 41.9782 51.3545 0.1826
"GCF_000023605.1_ASM2360v1" 40.8244 50.246 0.1875
"GCF_000175935.2_ASM17593v2" 38.7002 47.6238 0.1874
"GCF_000233595.1_ASM23359v1" 41.0166 49.5289 0.1719
"GCF_000270125.2_ASM27012v2" 41.7357 49.7343 0.1608
"GCF_000148935.1_ASM14893v1" 40.0556 47.6736 0.1598
"GCF_000196615.1_ASM19661v1" 41.2356 47.7418 0.1363
"GCF_000026985.1_ASM2698v1" 40.9756 49.7294 0.176
"GCF_000017665.1_ASM1766v1" 38.088 46.69 0.1842
"GCF_000016325.1_ASM1632v1" 39.2639 48.9822 0.1984
"GCF_000025565.1_ASM2556v1" 37.1278 48.9465 0.2415
"GCA_000210775.1_ASM21077v1" 40.1265 47.8909 0.1621
"GCF_000164865.1_ASM16486v1" 38.373 47.5801 0.1935
"GCF_000215745.1_ASM21574v1" 36.1583 47.7294 0.2424
"GCF_000220485.1_ASM22048v1" 38.2479 48.0164 0.2034
"GCF_000019565.1_ASM1956v1" 37.7415 48.2169 0.2173
"GCF_000027085.1_ASM2708v1" 37.8508 48.4307 0.2185
"GCF_000026225.1_ASM2622v1" 38.6478 50.1339 0.2291
"GCF_000010765.1_ASM1076v1" 39.5546 50.362 0.2146
"GCF_000019425.1_ASM1942v1" 39.0667 49.2514 0.2068
"GCF_000012025.1_ASM1202v1" 38.9407 50.1763 0.2239
"GCF_000025165.1_ASM2516v1" 38.3505 49.9021 0.2315
"GCF_000014845.1_ASM1484v1" 37.6315 50.2053 0.2504
"GCF_000252875.1_ASM25287v1" 38.6079 49.5853 0.2214
"GCF_000235545.1_ASM23554v1" 38.6032 49.6481 0.2225
"GCF_000245535.1_ASM24553v1" 38.4476 50.089 0.2324
"GCF_000239975.1_ASM23997v1" 39.2233 48.6167 0.1932
"GCF_000240325.1_ASM24032v1" 38.4771 47.9268 0.1972
"GCA_000240185.2_ASM24018v2" 37.6496 48.2726 0.2201
"GCF_000233895.1_ASM23389v1" 38.245 49.5711 0.2285
"GCA_000308975.2_ASM30897v2" 48.5546 49.3963 0.017
"GCF_000252995.1_ASM25299v1" 38.7643 50.0677 0.2258
"GCF_000020705.1_ASM2070v1" 38.5172 49.6127 0.2236
"GCF_000018385.1_ASM1838v1" 37.9756 49.776 0.2371
"GCF_000020925.1_ASM2092v1" 38.3468 49.5995 0.2269
"GCF_000018045.1_ASM1804v1" 37.2857 48.3626 0.229
"GCF_000243075.1_ASM24307v1" 41.6369 47.0111 0.1143
"GCF_000023065.1_ASM2306v1" 39.865 49.2637 0.1908
"GCF_000196395.1_ASM19639v1" 40.6856 52.7191 0.2283
"GCF_000204115.1_ASM20411v1" 39.3459 50.9712 0.2281
"GCF_000014805.1_ASM1480v1" 39.4329 51.0735 0.2279
"GCF_000008465.1_ASM846v1" 44.543 52.6693 0.1543
"GCF_000014225.1_ASM1422v1" 45.0212 53.6474 0.1608
"GCF_000226565.1_ASM22656v1" 46.52 55.207 0.1574
"GCF_000213655.1_ASM21365v1" 45.2459 54.735 0.1734
"GCF_000020585.3_ASM2058v3" 44.59 54.6336 0.1838
"GCF_000012325.1_ASM1232v1" 44.1182 54.1266 0.1849
"GCF_000026085.1_ASM2608v1" 43.8575 49.0408 0.1057
"GCF_000184065.1_ASM18406v1" 43.1019 50.6727 0.1494
"GCF_000046845.1_ASM4684v1" 42.6483 51.9406 0.1789
"GCF_000226275.1_ASM22627v1" 41.3055 52.4539 0.2125
"GCF_000191145.1_ASM19114v1" 41.1942 52.1043 0.2094
"GCF_000196795.1_ASM19679v1" 41.7364 52.4631 0.2045
"GCA_000015425.1_ASM1542v1" 40.5295 52.3931 0.2264
"GCA_000069205.1_ASM6920v1" 40.7801 53.0412 0.2312
"GCF_000069245.1_ASM6924v1" 40.962 52.4628 0.2192
"GCF_000302495.1_RH4.0" 43.7298 50.1335 0.1277
"GCF_000012305.1_ASM1230v1" 45.547 50.6713 0.1011
"GCF_000013905.1_ASM1390v1" 45.4076 51.0087 0.1098
"GCF_000016885.1_ASM1688v1" 44.3927 50.6325 0.1232
"GCF_000198515.1_ASM19851v1" 51.1959 53.1397 0.0366
"GCF_000009365.1_ASM936v1" 46.4752 52.2239 0.1101
"GCF_000017285.1_ASM1728v1" 43.9977 54.1253 0.1871
"GCF_000192865.1_ASM19286v1" 42.213 56.1416 0.2481
"GCF_000214215.1_ASM21421v1" 42.6229 53.2495 0.1996
"GCF_000012985.1_ASM1298v1" 48.3393 53.0866 0.0894
"GCF_000015365.1_ASM1536v1" 44.2038 52.8394 0.1634
"GCF_000166295.1_ASM16629v1" 45.4998 54.2724 0.1616
