"genome_id" "Genome_Name" "rRNA_CN_rrnDB" "rRNA_CN_IMG" "rRNA_CN_final"
"GCF_000143165.1_ASM14316v1" "Dehalogenimonas lykanthroporepellens BL-DC-9" 1 1 1
"GCF_000025585.1_ASM2558v1" "Dehalococcoides mccartyi GT" 1 1 1
"GCF_000011905.1_ASM1190v1" "Dehalococcoides mccartyi 195" 1 1 1
"GCF_000025025.1_ASM2502v1" "Dehalococcoides mccartyi VS" 1 1 1
"GCF_000021685.1_ASM2168v1" "Thermomicrobium roseum DSM 5159" 2 1 2
"GCF_000024985.1_ASM2498v1" "Sphaerobacter thermophilus 4ac11, DSM 20745" 2 2 2
"GCF_000025005.1_ASM2500v1" "Thermobaculum terrenum YNP1, ATCC BAA-798" 2 2 2
"GCA_000018565.1_ASM1856v1" "Herpetosiphon aurantiacus DSM 785" NA 5 5
"GCF_000021945.1_ASM2194v1" "Chloroflexus aggregans DSM 9485" 3 3 3
"GCF_000022185.1_ASM2218v1" "Chloroflexus sp. Y-400-fl" 3 3 3
"GCF_000016665.1_ASM1666v1" "Roseiflexus sp. RS-1" 2 2 2
"GCF_000017805.1_ASM1780v1" "Roseiflexus castenholzii HLO8, DSM 13941" 2 2 2
"GCF_000199675.1_ASM19967v1" "Anaerolinea thermophila UNI-1" 2 2 2
"GCF_000023845.1_ASM2384v1" "Cryptobacterium curtum 12-3, DSM 15641" 3 3 3
"GCF_000270285.1_ASM27028v1" "Eggerthella sp. YY7918" 2 2 2
"GCF_000210055.1_ASM21005v1" "Gordonibacter pamelaeae 7-10-1-bT, DSM 19378" NA 1 1
"GCF_000024265.1_ASM2426v1" "Eggerthella lenta VPI 0255, DSM 2243" 3 3 3
"GCF_000023885.1_ASM2388v1" "Slackia heliotrinireducens RHS 1, DSM 20476" 2 2 2
"GCF_000024225.1_ASM2422v1" "Atopobium parvulum IPP 1246, DSM 20469" 1 1.33 1
"GCF_000143845.1_ASM14384v1" "Olsenella uli VPI, DSM 7084" 1 1 1
"GCF_000195315.1_ASM19531v1" "Coriobacterium glomerans PW2, DSM 20642" 2 2 2
"GCF_000177615.2_ASM17761v2" "Frankia symbiont of Datisca glomerata Dg1" 2 2 2
"GCF_000058485.1_ASM5848v1" "Frankia alni ACN14a" 2 2 2
"GCF_000013345.1_ASM1334v1" "Frankia sp. CcI3" 2 2 2
"GCF_000018005.1_ASM1800v1" "Frankia sp. EAN1pec" 3 3 3
"GCF_000166135.1_ASM16613v1" "Frankia sp. EuI1c" 3 3 3
"GCF_000015025.1_ASM1502v1" "Acidothermus cellulolyticus 11B" 1 1 1
"GCF_000023405.1_ASM2340v1" "Brachybacterium faecium 6-10, DSM 4810" 3 3 3
"GCF_000025205.1_ASM2520v1" "Gardnerella vaginalis 409-05" 2 2 2
"GCF_000213955.1_ASM21395v1" "Gardnerella vaginalis HMP9231" 2 2 2
"GCF_000024445.1_ASM2444v1" "Bifidobacterium dentium Bd1" 4 4.33 4
"GCF_000010425.1_ASM1042v1" "Bifidobacterium adolescentis ATCC 15703" 5 5.33 5
"GCF_000165905.1_ASM16590v1" "Bifidobacterium bifidum PRL2010" 3 3 3
"GCF_000213865.1_ASM21386v1" "Bifidobacterium breve ACS-071-V-Sch8b" 3 3 3
"GCF_000092325.1_ASM9232v1" "Bifidobacterium longum longum JDM301" 3 3 3
"GCF_000210755.1_ASM21075v1" "Bifidobacterium longum longum F8" NA 1 1
"GCF_000022705.1_ASM2270v1" "Bifidobacterium animalis lactis Bl-04, ATCC SD5219" 4 4 4
"GCF_000224965.2_ASM22496v2" "Bifidobacterium animalis lactis BLC1" 4 4 4
"GCF_000196535.1_ASM19653v1" "Mobiluncus curtisii ATCC 43063" 2 2 2
"GCF_000092365.1_ASM9236v1" "Arcanobacterium haemolyticum CCM, DSM 20595" 4 4 4
"GCF_000023105.1_ASM2310v1" "Beutenbergia cavernae HKI 0122, DSM 12333" 2 2.67 2
"GCF_000218545.1_ASM21854v1" "Cellulomonas gilvus ATCC 13127" 2 2 2
"GCF_000092865.1_ASM9286v1" "Cellulomonas flavigena 134, DSM 20109" 2 2 2
"GCF_000024925.1_ASM2492v1" "Sanguibacter keddieii ST-74, DSM 10542" 4 4 4
"GCF_000024065.1_ASM2406v1" "Jonesia denitrificans 55134, DSM 20603" 5 7.33 5
"GCF_000215105.1_ASM21510v1" "Isoptericola variabilis 225" 3 3 3
"GCF_000024965.1_ASM2496v1" "Xylanimonas cellulosilytica XIL07, DSM 15894" 3 3 3
"GCF_000202635.1_ASM20263v1" "Microbacterium testaceum StLB037" 2 2 2
"GCF_000007665.1_ASM766v1" "Leifsonia xyli xyli CTCB07" 1 1 1
"GCF_000063485.1_ASM6348v1" "Clavibacter michiganensis michiganensis NCPPB 382" 2 2 2
"GCF_000197735.1_ASM19773v1" "Arthrobacter arilaitensis re117, CIP 108037" 6 6 6
"GCF_000196235.1_ASM19623v1" "Arthrobacter sp. FB24" 5 5 5
"GCF_000189535.1_ASM18953v1" "Arthrobacter phenanthrenivorans Sphe3" 4 4 4
"GCF_000022025.1_ASM2202v1" "Arthrobacter chlorophenolicus A6" 5 5 5
"GCF_000014925.1_ASM1492v1" "Arthrobacter aurescens TC1" 6 6 6
"GCF_000018885.1_ASM1888v1" "Renibacterium salmoninarum ATCC 33209" 2 2 2
"GCF_000010285.1_ASM1028v1" "Kocuria rhizophila DC2201" 3 3 3
"GCF_000164695.2_ASM16469v2" "Rothia dentocariosa ATCC 17931" 3 3.33 3
"GCF_000011025.1_ASM1102v1" "Rothia mucilaginosa DY-18" 3 3.67 3
"GCF_000023205.1_ASM2320v1" "Micrococcus luteus NCTC 2665" 2 1.67 2
"GCF_000017305.1_ASM1730v1" "Kineococcus radiotolerans SRS30216" 4 4 4
"GCF_000023925.1_ASM2392v1" "Kytococcus sedentarius 541, DSM 20547" 2 2 2
"GCF_000184685.1_ASM18468v1" "Intrasporangium calvum 7KIP, DSM 43043" 2 2 2
"GCF_000015265.1_ASM1526v1" "Nocardioides sp. JS614" 2 2 2
"GCF_000270245.1_ASM27024v1" "Microlunatus phosphovorus NM-1" 1 1 1
"GCF_000008345.1_ASM834v1" "Propionibacterium acnes KPA171202" 3 3 3
"GCF_000240055.1_ASM24005v1" "Propionibacterium acnes TypeIA2 P.acn31" 3 3 3
"GCF_000024345.1_ASM2434v1" "Kribbella flavida IFO 14399, DSM 17836" 2 2 2
"GCF_000024025.1_ASM2402v1" "Catenulispora acidiphila ID139908, DSM 44928" 3 4 3
"GCF_000269985.1_ASM26998v1" "Kitasatospora setae KM-6054, NBRC 14216" 9 9 9
"GCF_000237305.1_ASM23730v1" "Streptomyces cattleya NRRL 8057" 6 6 6
"GCF_000203835.1_ASM20383v1" "Streptomyces coelicolor A3(2)" 6 6 6
"GCF_000092385.1_ASM9238v1" "Streptomyces bingchenggensis BCW-1" 6 6 6
"GCA_000147815.3_ASM14781v3" "Streptomyces violaceusniger Tu 4113" 6 2 6
"GCF_000010605.1_ASM1060v1" "Streptomyces griseus griseus NBRC 13350" 6 6 6
"GCF_000213055.1_ASM21305v1" "Streptomyces sp. Tu6071" NA 6 6
"GCF_000091305.1_ASM9130v1" "Streptomyces scabiei 87.22" 6 6 6
"GCF_000009765.2_ASM976v2" "Streptomyces avermitilis MA-4680" 6 6 6
"GCF_000092825.1_ASM9282v1" "Segniliparus rotundus CDC 1076, DSM 44985" 1 1 1
"GCF_000023145.1_ASM2314v1" "Corynebacterium kroppenstedtii DSM 44385" 3 3 3
"GCF_000069945.1_ASM6994v1" "Corynebacterium urealyticum DSM 7109" 3 3 3
"GCF_000006605.1_ASM660v1" "Corynebacterium jeikeium K411" 3 3 3
"GCF_000177535.2_ASM17753v2" "Corynebacterium resistens DSM 45100" 3 3 3
"GCF_000179395.2_ASM17939v2" "Corynebacterium variabile DSM 44702" 6 6 6
"GCF_000022905.1_ASM2290v1" "Corynebacterium aurimucosum CN-1, ATCC 700975" 3 4 3
"GCF_000215645.1_ASM21564v1" "Corynebacterium ulcerans 809" 4 4 4
"GCF_000255935.1_ASM25593v1" "Corynebacterium pseudotuberculosis sv. Ovis P54B96" 4 4 4
"GCF_000152065.1_ASM15206v1" "Corynebacterium pseudotuberculosis I19" 4 4 4
"GCF_000195815.1_ASM19581v1" "Corynebacterium diphtheriae bv. Gravis" 5 5 5
"GCF_000255235.1_ASM25523v1" "Corynebacterium diphtheriae HC01" 5 5 5
"GCF_000011305.1_ASM1130v1" "Corynebacterium efficiens YS-314, DSM 44549" 5 5 5
"GCF_000011325.1_ASM1132v1" "Corynebacterium glutamicum Nakagawa ATCC 13032" 6 1 6
"GCF_000214175.1_ASM21417v1" "Amycolicicoccus subflavus DQS3-9A1" 3 3 3
"GCF_000009805.1_ASM980v1" "Nocardia farcinica IFM 10152" 3 3 3
"GCF_000284035.1_ASM28403v1" "Nocardia cyriacigeorgica GUH-2" 3 3 3
"GCF_000196695.1_ASM19669v1" "Rhodococcus equi 103S" 4 4 4
"GCF_000010105.1_ASM1010v1" "Rhodococcus erythropolis PR4" 5 5 5
"GCF_000010805.1_ASM1080v1" "Rhodococcus opacus B4" 4 4 4
"GCF_000014565.1_ASM1456v1" "Rhodococcus jostii RHA1" 4 4 4
"GCF_000092225.1_ASM9222v1" "Tsukamurella paurometabola 33, DSM 20162" 2 2 2
"GCF_000024785.1_ASM2478v1" "Gordonia bronchialis 3410, DSM 43247" 2 2 2
"GCF_000247715.1_ASM24771v1" "Gordonia polyisoprenivorans VH2, DSM 44266" 3 3 3
"GCA_000230895.3_ASM23089v3" "Mycobacterium rhodesiae NBB3" 2 2 2
"GCF_000266905.1_ASM26690v1" "Mycobacterium chubuense NBB4" 2 2 2
"GCF_000016365.1_ASM1636v1" "Mycobacterium gilvum PYR-GCK" 2 2 2
"GCF_000015305.1_ASM1530v1" "Mycobacterium vanbaalenii PYR-1" 2 2 2
"GCF_000015405.1_ASM1540v1" "Mycobacterium sp. KMS" 2 2 2
"GCF_000015005.1_ASM1500v1" "Mycobacterium smegmatis MC2 155" 2 2 2
"GCF_000214155.1_ASM21415v1" "Mycobacterium sp. JDM601" 2 2 2
"GCF_000277145.1_ASM27714v1" "Mycobacterium intracellulare MOTT-02" 1 1 1
"GCF_000014985.1_ASM1498v1" "Mycobacterium avium 104" 1 1 1
"GCF_000026685.1_ASM2668v1" "Mycobacterium leprae Br4923" 1 1 1
"GCF_000154605.2_ASM15460v2" "Mycobacterium tuberculosis KZN 605 (XDR)" 1 0.67 1
"GCF_000153685.2_ASM15368v2" "Mycobacterium tuberculosis Haarlem" 1 1.33 1
"GCF_000023625.1_ASM2362v1" "Mycobacterium tuberculosis KZN 1435 (MDR)" 1 1 1
"GCA_000277085.1_ASM27708v1" "Mycobacterium tuberculosis RGTB327" NA 1 1
"GCF_000224435.1_ASM22443v1" "Mycobacterium tuberculosis CTRI-2" 1 1 1
"GCA_000013925.1_ASM1392v1" "Mycobacterium ulcerans Agy99" 1 1 1
"GCF_000069185.1_ASM6918v1" "Mycobacterium abscessus CIP 104536" 1 1 1
"GCF_000196675.1_ASM19667v1" "Pseudonocardia dioxanivorans CB1190" 3 3 3
"GCF_000062885.1_ASM6288v1" "Saccharopolyspora erythraea NRRL 2338" 4 5.33 4
"GCF_000023245.1_ASM2324v1" "Actinosynnema mirum 101, DSM 43827" 5 6 5
"GCF_000220945.1_ASM22094v1" "Amycolatopsis mediterranei S699, ATCC 13685" 4 4 4
"GCF_000023865.1_ASM2386v1" "Saccharomonospora viridis P101, DSM 43017" 3 3 3
"GCF_000196835.1_ASM19683v1" "Amycolatopsis mediterranei U32" 4 4 4
"GCF_000024365.1_ASM2436v1" "Nakamurella multipartita Y-104, DSM 44233" 2 2 2
"GCF_000025345.1_ASM2534v1" "Geodermatophilus obscurus G-20, DSM 43160" 3 3 3
"GCF_000024545.1_ASM2454v1" "Stackebrandtia nassauensis LLR-40K-21, DSM 44728" 2 2 2
"GCF_000237145.1_ASM23714v1" "Actinoplanes sp. SE50/110" 6 6 6
"GCF_000016425.1_ASM1642v1" "Salinispora tropica CNB-440" 3 3 3
"GCF_000018265.1_ASM1826v1" "Salinispora arenicola CNS-205" 3 3 3
"GCF_000204155.1_ASM20415v1" "Verrucosispora maris AB-18-032" 3 3 3
"GCF_000177655.2_ASM17765v2" "Micromonospora sp. L5" 3 3 3
"GCF_000092645.1_ASM9264v1" "Thermobispora bispora R51, DSM 43833" 4 3.33 4
"GCF_000024865.1_ASM2486v1" "Streptosporangium roseum NI 9100, DSM 43021" 6 8 6
"GCF_000092985.1_ASM9298v1" "Nocardiopsis dassonvillei dassonvillei DSM 43111" 5 5 5
"GCF_000012405.1_ASM1240v1" "Thermobifida fusca YX" 4 4 4
"GCF_000023265.1_ASM2326v1" "Acidimicrobium ferrooxidans ICP, DSM 10331" 2 2.67 2
"GCF_000025265.1_ASM2526v1" "Conexibacter woesei ID131577, DSM 14684" 1 1 1
"GCF_000014185.1_ASM1418v1" "Rubrobacter xylanophilus DSM 9941" 1 1 1
"GCF_000025185.1_ASM2518v1" "Pirellula staleyi DSM 6068" 1 1 1
"GCF_000196115.1_ASM19611v1" "Rhodopirellula baltica SH 1" 1 1 1
"GCF_000092105.1_ASM9210v1" "Planctomyces limnophilus Mu 290, DSM 3776" 2 1.33 2
"GCA_000165715.3_ASM16571v3" "Planctomyces brasiliensis DSM 5305" 2 2 2
"GCF_000186345.1_ASM18634v1" "Isosphaera pallida IS1B, ATCC 43644" 3 3 3
"GCA_000242455.3_ASM24245v3" "Singulisphaera acidiphila MOB10, DSM 18658" 8 8 8
"GCF_000237205.1_ASM23720v1" "Simkania negevensis Z, ATCC VR-1471" 1 1 1
"GCF_000011565.1_ASM1156v1" "Candidatus Protochlamydia amoebophila UWE25" NA 3 3
"GCF_000092785.1_ASM9278v1" "Waddlia chondrophila WSU 86-1044" 2 2 2
"GCF_000253035.1_ASM25303v1" "Parachlamydia acanthamoebae UV7" 3 3.33 3
"GCF_000006685.1_ASM668v1" "Chlamydia muridarum MoPn / Nigg" 2 2 2
"GCF_000226605.1_ASM22660v1" "Chlamydia trachomatis A2497" 2 2 2
"GCF_000011165.1_ASM1116v1" "Chlamydophila pneumoniae J138" 1 1 1
"GCF_000204135.1_ASM20413v1" "Chlamydophila pecorum E58" 1 1 1
"GCF_000026025.1_ASM2602v1" "Chlamydophila abortus S26/3" 1 1 1
"GCF_000191925.1_ASM19192v1" "Chlamydophila psittaci 6BC" 1 1 1
"GCF_000007605.1_ASM760v1" "Chlamydophila caviae GPIC" 1 1.33 1
"GCF_000009945.1_ASM994v1" "Chlamydophila felis Fe/C-56" 1 1 1
"GCF_000025905.1_ASM2590v1" "Coraliomargarita akajimensis DSM 45221" 2 2 2
"GCF_000019965.1_ASM1996v1" "Opitutus terrae PB90-1" 1 1.33 1
"GCA_000242935.3_ASM24293v3" "Opitutaceae sp. TAV5" 1 1 1
"GCF_000019665.1_ASM1966v1" "Methylacidiphilum infernorum V4" 1 1 1
"GCF_000020225.1_ASM2022v1" "Akkermansia muciniphila ATCC BAA-835" 3 3 3
"GCF_000143725.1_ASM14372v1" "Brachyspira pilosicoli 95/1000" 1 1 1
"GCF_000092845.1_ASM9284v1" "Brachyspira murdochii 56-150, DSM 12563" 1 1 1
"GCF_000022105.1_ASM2210v1" "Brachyspira hyodysenteriae sv. B WA1" 1 1 1
"GCF_000223215.1_ASM22321v1" "Brachyspira intermedia PWS/A" 1 1 1
"GCF_000019685.1_ASM1968v1" "Borrelia duttonii Ly" 1 1 1
"GCF_000012085.1_ASM1208v1" "Borrelia turicatae 91E135" 1 1 1
"GCF_000165595.2_ASM16559v2" "Borrelia afzelii PKo" NA 1.67 1.67
"GCF_000222305.1_ASM22230v1" "Borrelia bissettii DN127" 1 1.67 1
"GCF_000196215.1_ASM19621v1" "Borrelia garinii sv. 4 PBi" 1 1.67 1
"GCA_000166655.2_ASM16665v1" "Borrelia burgdorferi JD1" 1 1.67 1
"GCF_000147075.1_ASM14707v1" "Spirochaeta thermophila DSM 6192" 2 2 2
"GCA_000184345.2_ASM18434v2" "Spirochaeta thermophila Z-1203, DSM 6578" 2 2 2
"GCA_000242595.3_ASM24259v3" "Spirochaeta africana Z-7692, DSM 8902" 3 3 3
"GCF_000214355.1_ASM21435v1" "Treponema azotonutricium ZAS-9" 2 2 2
"GCF_000214375.1_ASM21437v1" "Treponema primitia ZAS-2" 2 2 2
"GCF_000212415.1_ASM21241v1" "Treponema brennaborense DD5/3, DSM 12168" 4 4 4
"GCF_000195275.1_ASM19527v1" "Treponema succinifaciens 6091, DSM 2489" 4 4.33 4
"GCF_000008185.1_ASM818v1" "Treponema denticola ATCC 35405" 2 2 2
"GCF_000024485.1_ASM2448v1" "Treponema pallidum pallidum Chicago" NA 2 2
"GCF_000246775.1_ASM24677v1" "Treponema pallidum pertenue CDC2" NA 2 2
"GCF_000208385.1_ASM20838v1" "Sphaerochaeta coccoides SPN1, DSM 17374" 3 3 3
"GCF_000190435.1_ASM19043v1" "Sphaerochaeta globosa Buddy" 4 4.67 4
"GCF_000236685.1_ASM23668v1" "Sphaerochaeta pleomorpha Grapes" 4 5 4
"GCF_000143985.1_ASM14398v1" "Spirochaeta smaragdinae SEBR 4228, DSM 11293" 2 2 2
"GCF_000266885.1_ASM26688v1" "Turneriella parva H, DSM 21527" 2 2 2
"GCF_000017685.1_ASM1768v1" "Leptospira biflexa sv. Patoc Patoc 1 (Paris)" 2 2 2
"GCF_000007685.1_ASM768v1" "Leptospira interrogans sv. Copenhageni Fiocruz L1-130" 2 1.67 2
"GCF_000231175.1_ASM23117v1" "Leptospira interrogans sv. LAI IPAV" 2 1.67 2
"GCF_000013945.1_ASM1394v1" "Leptospira borgpetersenii sv. Hardjo-bovis L550" 2 1.67 2
"GCF_000024665.1_ASM2466v1" "Fibrobacter succinogenes S85" 3 3 3
"GCF_000010305.1_ASM1030v1" "Gemmatimonas aurantiaca T-27T" 1 1 1
"GCF_000020525.1_ASM2052v1" "Chloroherpeton thalassium ATCC 35110" 1 1 1
"GCF_000020625.1_ASM2062v1" "Prosthecochloris aestuarii SK413, DSM 271" 1 1 1
"GCF_000020545.1_ASM2054v1" "Chlorobium phaeobacteroides BS1" 2 2 2
"GCF_000006985.1_ASM698v1" "Chlorobium tepidum TLS" 2 2 2
"GCF_000020505.1_ASM2050v1" "Chlorobaculum parvum DSM 263" 2 2 2
"GCF_000020465.1_ASM2046v1" "Chlorobium limicola DSM 245" 2 2 2
"GCF_000015125.1_ASM1512v1" "Chlorobium phaeobacteroides DSM 266" 2 2 2
"GCF_000016085.1_ASM1608v1" "Chlorobium phaeovibrioides DSM 265" 1 1 1
"GCF_000012485.1_ASM1248v1" "Pelodictyon luteolum DSM 273" 2 2 2
"GCF_000020645.1_ASM2064v1" "Pelodictyon phaeoclathratiforme BU-1" 3 3 3
"GCF_000012585.1_ASM1258v1" "Chlorobium chlorochromatii CaD3" 1 1 1
"GCF_000218895.1_ASM21889v1" "Runella slithyformis LSU4, DSM 19594" 2 2 2
"GCF_000263195.1_ASM26319v1" "Emticicia oligotrophica GPTSA100-15, DSM 17448" 2 2 2
"GCA_000024525.1_ASM2452v1" "Spirosoma linguale DSM 74" NA 3.67 3.67
"GCF_000023125.1_ASM2312v1" "Dyadobacter fermentans NS114, DSM 18053" 4 4 4
"GCF_000166395.1_ASM16639v1" "Leadbetterella byssophila 4M15, DSM 17132" 3 3 3
"GCF_000014145.1_ASM1414v1" "Cytophaga hutchinsonii ATCC 33406" 3 3 3
"GCF_000020565.1_ASM2056v1" "Candidatus Amoebophilus asiaticus 5a2" 1 1 1
"GCF_000183425.1_ASM18342v1" "Marivirga tractuosa H-43, DSM 4126" 2 2 2
"GCF_000265505.1_ASM26550v1" "Flexibacter litoralis Fx l1, DSM 6794" 3 3 3
"GCF_000222485.1_ASM22248v1" "Cyclobacterium marinum Raj, DSM 745" 3 3 3
"GCF_000325705.1_ASM32570v1" "Echinicola vietnamensis KMM 6221, DSM 17526" 4 4 4
"GCA_000242635.3_ASM24263v3" "Solitalea canadensis USAM 9D, DSM 3403" 4 4 4
"GCF_000192845.1_ASM19284v1" "Sphingobacterium sp. 21" 4 4 4
"GCF_000023825.1_ASM2382v1" "Pedobacter heparinus HIM 762-3" 3 2.33 3
"GCF_000238215.1_ASM23821v1" "Tannerella forsythia ATCC 43037" 2 2 2
"GCF_000190535.1_ASM19053v1" "Odoribacter splanchnicus 1651/6, DSM 20712" 4 4 4
"GCF_000212375.1_ASM21237v1" "Porphyromonas asaccharolytica VPI 4198, DSM 20707" 2 2 2
"GCF_000007585.1_ASM758v1" "Porphyromonas gingivalis W83" 4 4 4
"GCF_000183135.1_ASM18313v1" "Paludibacter propionicigenes WB4, DSM 17365" 3 3 3
"GCF_000010645.1_ASM1064v1" "Candidatus Azobacteroides pseudotrichonymphae gv. CFP2" 2 1.33 2
"GCF_000012825.1_ASM1282v1" "Bacteroides vulgatus ATCC 8482" 7 7 7
"GCF_000190575.1_ASM19057v1" "Bacteroides salanitronis BL78, DSM 18170" 6 6 6
"GCF_000025985.1_ASM2598v1" "Bacteroides fragilis NCTC 9343" 6 6.33 6
"GCF_000011065.1_ASM1106v1" "Bacteroides thetaiotaomicron VPI-5482" 5 5 5
"GCA_000210075.1_ASM21007v1" "Bacteroides xylanisolvens XB1A" NA 0.33 1
"GCF_000186225.1_ASM18622v1" "Bacteroides helcogenes P 36-108, DSM 20613" 5 5 5
"GCF_000025925.1_ASM2592v1" "Prevotella ruminicola 23" 4 4 4
"GCF_000163055.2_ASM16305v2" "Prevotella sp. F0039" 4 1 4
"GCF_000144405.1_ASM14440v1" "Prevotella melaninogenica ATCC 25845" 4 4.33 4
"GCF_000261025.1_ASM26102v1" "Prevotella intermedia 17" 4 3 4
"GCF_000220215.1_ASM22021v1" "Prevotella dentalis ES 2772" NA 5 5
"GCF_000012845.1_ASM1284v1" "Parabacteroides distasonis ATCC 8503" 7 7 7
"GCF_000512915.1_ASM51291v1" "Barnesiella viscericola C46, DSM 18177" 5 5 5
"GCF_000265365.1_ASM26536v1" "Alistipes finegoldii AHN 2437, DSM 17242" 2 2 2
"GCF_000194605.1_ASM19460v1" "Fluviicola taffensis RW262, DSM 16823" 2 2 2
"GCF_000236405.1_ASM23640v1" "Blattabacterium sp. Cpu" 1 1 1
"GCF_000233435.1_ASM23343v1" "Blattabacterium sp. (Mastotermes darwiniensis) MADAR" 1 1 1
"GCF_000022605.2_ASM2260v1" "Blattabacterium sp. Bge" 1 1 1
"GCF_000093165.1_ASM9316v1" "Blattabacterium sp. BPLAN" 1 1 1
"GCF_000265465.1_ASM26546v1" "Ornithobacterium rhinotracheale DSM 15997" 3 3 3
"GCF_000023725.1_ASM2372v1" "Flavobacteriaceae bacterium 3519-10" 2 2 2
"GCF_000183155.1_ASM18315v1" "Riemerella anatipestifer A350/72, DSM 15868" 3 3 3
"GCF_000191565.1_ASM19156v1" "Riemerella anatipestifer RA-GD" 3 3 3
"GCF_000189415.1_ASM18941v1" "Weeksella virosa 9751, DSM 16922" 5 5 5
"GCF_000016645.1_ASM1664v1" "Flavobacterium johnsoniae UW101, ATCC 17061" 6 6 6
"GCF_000064305.2_ASM6430v2" "Flavobacterium psychrophilum JIP02/86" 6 6 6
"GCF_000220625.1_ASM22062v1" "Capnocytophaga canimorsus Cc5" 3 3 3
"GCF_000023285.1_ASM2328v1" "Capnocytophaga ochracea VPI 2845, DSM 7271" 4 4 4
"GCF_000024125.1_ASM2412v1" "Robiginitalea biformata HTCC2501" 2 2 2
"GCF_000153165.2_ASM15316v2" "Maribacter sp. HTCC2170" 2 2 2
"GCF_000190595.1_ASM19059v1" "Cellulophaga lytica LIM-21, DSM 7489" 4 4 4
"GCF_000186265.1_ASM18626v1" "Cellulophaga algicola IC166, DSM 14237" 5 5 5
"GCF_000152945.2_ASM15294v2" "Polaribacter sp. MED152" 2 2 2
"GCA_000211855.3_ASM21185v3" "Lacinutrix sp. 5H-3-7-4" 2 2 2
"GCF_000023465.1_ASM2346v1" "Zunongwangia profunda SM-A87" 3 3 3
"GCF_000060345.1_ASM6034v1" "Gramella forsetii KT0803" 3 3 3
"GCF_000265385.1_ASM26538v1" "Aequorivita sublithincola QSSC9-3, DSM 14238" 2 2 2
"GCF_000224085.1_ASM22408v1" "Muricauda ruestringensis B1, DSM 13258" 2 2 2
"GCF_000240075.2_ASM24007v2" "Flavobacterium columnare ATCC 49512" 5 5 5
"GCF_000024005.1_ASM2400v1" "Chitinophaga pinensis UQM 2034, DSM 2588" 6 6 6
"GCF_000246855.1_ASM24685v1" "Niastella koreensis GR20-10, DSM 17620" 3 3 3
"GCA_000243115.3_ASM24311v3" "Niabella soli JS13-8, DSM 19437" 2 2 2
"GCF_000212735.1_ASM21273v1" "Haliscomenobacter hydrossis O, DSM 1100" 2 2 2
"GCF_000250635.1_ASM25063v1" "Saprospira grandis Lewin" 3 3.33 3
"GCF_000024845.1_ASM2484v1" "Rhodothermus marinus R-10, DSM 4252" 1 1 1
"GCF_000224745.1_ASM22474v1" "Rhodothermus marinus SG0.5JP17-172" 1 1 1
"GCF_000013045.1_ASM1304v1" "Salinibacter ruber M31, DSM 13855" 1 1 1
"GCA_000146025.1_ASM14602v1" "uncultured Termite group 1 bacterium Rs-D17" NA 1 1
"GCF_000020145.1_ASM2014v1" "Elusimicrobium minutum Pei191" 1 1 1
"GCF_000020985.1_ASM2098v1" "Thermodesulfovibrio yellowstonii DSM 11347" 1 1 1
"GCF_000025725.1_ASM2572v1" "Denitrovibrio acetiphilus N2460, DSM 12809" 2 2 2
"GCF_000183405.1_ASM18340v1" "Calditerrivibrio nitroreducens Yu37-1, DSM 19672" 2 2 2
"GCF_000218625.1_ASM21862v1" "Flexistipes sinusarabici MAS10, DSM 4947" 2 2 2
"GCF_000177635.2_ASM17763v2" "Desulfurispirillum indicum S5, DSM 22839" 3 3 3
"GCF_000517565.1_ASM51756v1" "Desulfurella acetivorans A63, DSM 5264" 2 2 2
"GCF_000194135.1_ASM19413v1" "Hippea maritima MH2, DSM 10411" 2 2 2
"GCF_000021725.1_ASM2172v1" "Nautilia profundicola Am-H" 4 4 4
"GCF_000012965.1_ASM1296v1" "Sulfurimonas denitrificans DSM 1251" 4 4 4
"GCF_000147355.1_ASM14735v1" "Sulfurimonas autotrophica OK10, DSM 16294" 4 4 4
"GCF_000183725.1_ASM18372v1" "Sulfuricurvum kujiense YK-1, DSM 16994" 3 3 3
"GCF_000186245.1_ASM18624v1" "Nitratifractor salsuginis E9I37-1, DSM 16511" 2 2 2
"GCF_000010345.1_ASM1034v1" "Sulfurovum sp. NBC37-1" 3 3 3
"GCF_000017465.1_ASM1746v1" "Campylobacter curvus 525.92" 3 5 3
"GCF_000017725.1_ASM1772v1" "Campylobacter concisus 13826" 3 3 3
"GCF_000017585.1_ASM1758v1" "Campylobacter hominis ATCC BAA-381" 3 3 3
"GCF_000015085.1_ASM1508v1" "Campylobacter fetus fetus 82-40" 3 3 3
"GCF_000019205.1_ASM1920v1" "Campylobacter lari RM2100" 3 3 3
"GCF_000011865.1_ASM1186v1" "Campylobacter jejuni RM1221" 3 3 3
"GCF_000017485.1_ASM1748v1" "Campylobacter jejuni doylei 269.97" 3 4 3
"GCF_000024885.1_ASM2488v1" "Sulfurospirillum deleyianum 5175, DSM 6946" 3 3 3
"GCF_000265295.1_ASM26529v1" "Sulfurospirillum barnesii SES-3" 2 2 2
"GCF_000092245.1_ASM9224v1" "Arcobacter nitrofigilis DSM 7299" 4 4 4
"GCF_000284355.1_ASM28435v1" "Arcobacter butzleri ED-1" 5 5 5
"GCF_000284235.1_ASM28423v1" "Arcobacter sp. L" 5 5 5
